word,count
song,99
about,96
the,65
rock,59
pop,58
and,48
of,44
in,42
vocalist,33
guitar,29
male,26
style,25
with,25
hip,25
hop,24
female,20
electronic,19
to,18
soul,17
heavy,17
rap,17
house,16
music,16
jazz,15
melodic,15
country,14
piano,13
metal,13
for,13
by,13
funk,12
love,12
is,12
bass,11
alternative,11
old,11
dance,11
indie,10
synth,10
blues,10
dark,9
on,9
energetic,9
acoustic,8
deep,8
named,8
upbeat,8
ambient,8
electro,8
like,8
instrumental,7
passionate,7
voice,7
punk,7
singer,7
from,7
as,7
epic,7
that,7
you,7
slow,6
drums,6
contemporary,6
vocals,6
school,6
catchy,6
synthesizer,6
life,6
it,6
an,6
rhythmic,5
uplifting,5
electric,5
fast,5
hard,5
beat,5
coast,5
but,5
summer,5
drum,5
beautiful,5
classic,5
modern,5
folk,5
big,5
sad,4
my,4
band,4
working,4
doo,4
his,4
day,4
who,4
can,4
set,4
how,4
synthwave,4
being,4
solo,4
new,4
girl,4
her,4
friend,4
amazing,4
theme,4
's,4
post,4
doomed,4
anime,4
progressive,4
traditional,4
or,4
sung,4
lyrics,4
black,4
vocal,4
film,4
melancholic,3
bpm,3
anthemic,3
playful,3
boy,3
two,3
east,3
west,3
world,3
write,3
time,3
japanese,3
saxophone,3
serene,3
jingle,3
bittersweet,3
humanity,3
we,3
are,3
make,3
way,3
electropop,3
th,3
back,3
club,3
analog,3
compose,3
man,3
again,3
fun,3
inspired,3
piece,3
classical,3
gospel,3
having,3
drinking,3
ethereal,3
trap,3
please,3
symphony,3
emotional,3
techno,3
game,3
italian,3
sunset,3
will,3
culture,3
psychedelic,3
light,2
downtempo,2
smooth,2
americana,2
baroque,2
artificial,2
intelligence,2
russian,2
accent,2
screaming,2
called,2
paced,2
aggressive,2
nu,2
cats,2
listening,2
birds,2
album,2
warm,2
beats,2
intro,2
playboi,2
carti,2
little,2
became,2
home,2
after,2
chicken,2
bad,2
playstation,2
songwriter,2
best,2
tech,2
trance,2
percussion,2
bossa,2
nova,2
party,2
morning,2
your,2
keyboard,2
getting,2
funky,2
orchestral,2
hope,2
future,2
sang,2
uptempo,2
there,2
no,2
musical,2
standards,2
duet,2
bop,2
technical,2
service,2
elvis,2
glitch,2
rnb,2
hall,2
end,2
solos,2
into,2
human,2
train,2
ballad,2
euro,2
sound,2
soundtrack,2
create,2
night,2
daily,2
hiphop,2
drill,2
german,2
what,2
elements,2
need,2
form,2
proper,2
sentences,2
something,2
someone,2
lost,2
be,2
bright,2
right,2
here,2
hz,2
age,2
finding,2
during,2
tame,2
impala,2
creating,2
singing,2
all,2
korean,2
idol,2
sings,2
talks,2
agi,2
soon,2
inkorean,2
emo,2
motown,2
southern,2
fi,2
space,2
viennese,2
eaten,2
too,2
much,2
tipps,2
feel,2
better,2
schnaps,2
coffee,2
board,2
high,2
jungle,2
total,2
eclipse,2
swing,2
easy,2
anton,2
bruckner,2
bike,2
name,2
billie,2
houston,2
festival,2
driving,2
eminem,2
van,2
