prompt_word,prompt_count,songs_with_word,total_descriptions,survived_count,survival_rate_pct
country,14,9,54,39,72.2
guitar,29,22,135,52,38.5
rock,59,31,193,71,36.8
metal,13,10,61,21,34.4
jazz,15,11,71,24,33.8
female,20,19,119,40,33.6
rap,17,14,87,28,32.2
slow,6,6,37,11,29.7
beat,6,6,36,9,25.0
drum,11,8,51,12,23.5
male,26,25,155,34,21.9
pop,58,49,300,59,19.7
vocal,10,9,57,11,19.3
instrumental,7,7,45,8,17.8
heavy,17,15,94,16,17.0
piano,13,10,66,11,16.7
voice,7,7,42,7,16.7
fast,5,5,31,5,16.1
sing,9,9,58,9,15.5
hip-hop,24,19,119,18,15.1
upbeat,8,8,48,7,14.6
singer,7,7,44,5,11.4
blue,11,8,49,5,10.2
punk,7,7,42,4,9.5
r&b,12,8,46,4,8.7
big,5,4,25,2,8.0
acoustic,8,6,39,3,7.7
electronic,19,19,118,9,7.6
dance,11,11,69,5,7.2
love,13,13,85,6,7.1
electric,5,5,29,2,6.9
house,16,12,73,5,6.8
hard,5,5,31,2,6.5
old,11,11,69,4,5.8
catchy,6,6,39,2,5.1
style,26,26,162,8,4.9
synth,10,10,62,3,4.8
bass,11,11,68,3,4.4
theme,5,4,24,1,4.2
soul,17,8,49,2,4.1
summer,5,5,29,1,3.4
indie,10,10,58,2,3.4
folk,5,5,30,1,3.3
work,5,5,31,1,3.2
vocalist,34,34,210,6,2.9
life,6,6,35,1,2.9
epic,7,6,38,1,2.6
deep,8,8,48,1,2.1
dark,9,9,53,1,1.9
alternative,11,10,62,1,1.6
melodic,15,15,95,1,1.1
ambient,8,8,48,0,0.0
energetic,9,9,58,0,0.0
funk,12,11,69,0,0.0
classic,5,4,24,0,0.0
beautiful,5,5,30,0,0.0
contemporary,6,5,30,0,0.0
coast,5,4,25,0,0.0
doom,6,6,37,0,0.0
electro,8,7,41,0,0.0
school,6,6,39,0,0.0
rhythmic,5,5,30,0,0.0
name,8,7,45,0,0.0
passionate,7,7,42,0,0.0
modern,5,5,31,0,0.0
solo,6,6,36,0,0.0
synthesizer,6,6,38,0,0.0
write,5,5,32,0,0.0
