prompt_word,desc_word,chi2,p_value,prompt_count,desc_with,desc_without
heavy,metal,166.78,0.0,17,94,1142
hip-hop,rap,156.37,0.0,24,119,1117
metal,rock,116.05,0.0,13,61,1175
heavy,rock,96.99,0.0,17,94,1142
dance,jackson,84.91,0.0,11,69,1167
funk,jackson,84.91,0.0,12,69,1167
blue,lullaby,72.85,0.0,11,49,1187
funk,michael,67.87,0.0,12,69,1167
dance,michael,67.87,0.0,11,69,1167
heavy,guitar,62.97,0.0,17,94,1142
metal,hard,61.78,0.0,13,61,1175
metal,scream,61.29,0.0,13,61,1175
rock,guitar,58.82,0.0,59,193,1043
metal,electric,57.92,0.0,13,61,1175
r&b,duet,56.9,0.0,12,46,1190
metal,punk,56.36,0.0,13,61,1175
soul,woman,54.94,0.0,17,49,1187
piano,jazz,54.78,0.0,13,66,1170
piano,lullaby,53.31,0.0,13,66,1170
bass,spanish,53.28,0.0,11,68,1168
soul,duet,53.19,0.0,17,49,1187
male,rock,52.63,0.0,26,155,1081
metal,guitar,51.18,0.0,13,61,1175
heavy,scream,49.45,0.0,17,94,1142
jazz,christmas,49.35,0.0,15,71,1165
jazz,french,46.96,0.0,15,71,1165
heavy,electric,46.84,0.0,17,94,1142
country,southern,44.84,0.0,14,54,1182
guitar,rock,43.54,0.0,29,135,1101
metal,heavy,43.32,0.0,13,61,1175
house,edm,42.52,0.0,16,73,1163
alternative,rock,42.33,0.0,11,62,1174
love,opera,40.25,0.0,13,85,1151
metal,powerful,38.84,0.0,13,61,1175
r&b,woman,38.53,0.0,12,46,1190
piano,princess,38.53,0.0,13,66,1170
female,japanese,37.67,0.0,20,119,1117
hip-hop,beat,37.33,0.0,24,119,1117
old,duet,36.69,0.0,11,69,1167
heavy,angry,36.54,0.0,17,94,1142
heavy,drumming,36.54,0.0,17,94,1142
female,pop,36.08,0.0,20,119,1117
heavy,hard,35.36,0.0,17,94,1142
male,jackson,35.01,0.0,26,155,1081
house,tech,34.47,0.0,16,73,1163
alternative,2000,34.2,0.0,11,62,1174
love,romance,33.66,0.0,13,85,1151
blue,soothe,33.56,0.0,11,49,1187
style,jackson,33.28,0.0,26,162,1074
heavy,punk,32.97,0.0,17,94,1142
rap,hiphop,32.76,0.0,17,87,1149
heavy,strong,29.77,0.0,17,94,1142
piano,poetry,29.67,0.0,13,66,1170
country,guitar,29.6,0.0,14,54,1182
alternative,european,29.58,0.0,11,62,1174
rock,drum,29.55,0.0,59,193,1043
drum,melancholic,29.16,0.0,11,51,1185
love,forward,29.08,0.0,13,85,1151
electronic,potentially,28.49,0.0,19,118,1118
hip-hop,clap,28.23,0.0,24,119,1117
hip-hop,tupac,28.23,0.0,24,119,1117
female,anime,28.23,0.0,20,119,1117
house,say,28.17,0.0,16,73,1163
rock,electric,28.16,0.0,59,193,1043
drum,rock,28.1,0.0,11,51,1185
pop,girl,28.02,0.0,58,300,936
male,michael,27.99,0.0,26,155,1081
jazz,elevator,27.29,0.0,15,71,1165
jazz,poetry,27.29,0.0,15,71,1165
country,melancholic,27.19,0.0,14,54,1182
style,michael,26.6,0.0,26,162,1074
hip-hop,r&b,26.53,0.0,24,119,1117
house,poetry,26.43,0.0,16,73,1163
rap,rapper,25.21,0.0,17,87,1149
rap,british,25.03,0.0,17,87,1149
soul,sing,24.99,0.0,17,49,1187
rock,metal,24.49,0.0,59,193,1043
male,guitar,23.8,0.0,26,155,1081
soul,era,23.79,0.0,17,49,1187
piano,small,23.79,0.0,13,66,1170
piano,soothe,23.79,0.0,13,66,1170
pop,asian,23.7,0.0,58,300,936
pop,k,23.0,0.0,58,300,936
drum,2000,22.67,0.0,11,51,1185
old,brush,22.57,0.0,11,69,1167
hip-hop,soulful,22.54,0.0,24,119,1117
hip-hop,hiphop,22.54,0.0,24,119,1117
blue,country,22.48,0.0,11,49,1187
old,french,22.19,0.0,11,69,1167
jazz,restaurant,21.81,0.0,15,71,1165
rap,90s,21.52,0.0,17,87,1149
rap,trap,21.52,0.0,17,87,1149
alternative,not,21.16,0.0,11,62,1174
country,banjo,21.15,0.0,14,54,1182
rock,grunge,21.03,0.0,59,193,1043
rock,introduction,20.98,0.0,59,193,1043
r&b,man,20.61,0.0,12,46,1190
vocalist,female,20.59,0.0,34,210,1026
house,dance,20.51,0.0,16,73,1163
metal,strong,20.25,0.0,13,61,1175
rap,hip-hop,20.18,0.0,17,87,1149
guitar,punk,19.94,0.0,29,135,1101
hip-hop,modern,19.9,0.0,24,119,1117
female,cheerful,19.71,0.0,20,119,1117
vocalist,japanese,19.61,0.0,34,210,1026
jazz,instrumental,19.56,0.0,15,71,1165
r&b,rnb,19.43,0.0,12,46,1190
melodic,elevator,19.36,0.0,15,95,1141
melodic,raspy,19.36,0.0,15,95,1141
jazz,smooth,19.17,0.0,15,71,1165
electronic,eerie,19.1,0.0,19,118,1118
bass,latin,18.9,0.0,11,68,1168
bass,heavy,18.81,0.0,11,68,1168
dance,latin,18.56,0.0,11,69,1167
funk,repetitive,18.56,0.0,12,69,1167
house,beat,18.52,0.0,16,73,1163
jazz,soft,18.46,0.0,15,71,1165
female,artist,18.4,0.0,20,119,1117
