prompt_word,desc_word,chi2,p_value,prompt_count,desc_with,desc_without
country,folk,18.2,0.0,14,54,1182
soul,eerie,17.95,0.0,17,49,1187
blue,tell,17.95,0.0,11,49,1187
jazz,love,17.57,0.0,15,71,1165
rap,constant,17.01,0.0,17,87,1149
rap,blend,17.01,0.0,17,87,1149
guitar,wild,16.94,0.0,29,135,1101
blue,jazz,16.93,0.0,11,49,1187
rap,rnb,16.74,0.0,17,87,1149
vocalist,rock,16.5,0.0,34,210,1026
piano,head,16.48,0.0,13,66,1170
house,keyboard,16.4,0.0001,16,73,1163
rock,punk,16.39,0.0001,59,193,1043
vocalist,lot,16.32,0.0001,34,210,1026
rock,teen,16.25,0.0001,59,193,1043
male,punk,16.12,0.0001,26,155,1081
love,guitar,16.01,0.0001,13,85,1151
blue,slow,15.92,0.0001,11,49,1187
pop,jackson,15.66,0.0001,58,300,936
male,old,15.6,0.0001,26,155,1081
hip-hop,good,15.58,0.0001,24,119,1117
metal,riff,15.58,0.0001,13,61,1175
male,riff,15.29,0.0001,26,155,1081
drum,guitar,15.13,0.0001,11,51,1185
melodic,interesting,14.84,0.0001,15,95,1141
electronic,youtube,14.8,0.0001,19,118,1118
vocalist,anime,14.69,0.0001,34,210,1026
hip-hop,backup,14.64,0.0001,24,119,1117
female,1990s,14.64,0.0001,20,119,1117
female,girly,14.64,0.0001,20,119,1117
rap,accent,14.59,0.0001,17,87,1149
rock,solo,14.57,0.0001,59,193,1043
love,piano,14.48,0.0001,13,85,1151
r&b,love,14.38,0.0001,12,46,1190
female,sing,14.34,0.0002,20,119,1117
house,techno,14.09,0.0002,16,73,1163
house,club,14.09,0.0002,16,73,1163
country,accent,13.94,0.0002,14,54,1182
electronic,club,13.85,0.0002,19,118,1118
female,girl,13.76,0.0002,20,119,1117
guitar,melancholic,13.6,0.0002,29,135,1101
alternative,school,13.21,0.0003,11,62,1174
house,drop,13.09,0.0003,16,73,1163
r&b,smooth,13.07,0.0003,12,46,1190
jazz,genre,12.75,0.0004,15,71,1165
electronic,house,12.72,0.0004,19,118,1118
female,pitch,12.69,0.0004,20,119,1117
dance,upbeat,12.66,0.0004,11,69,1167
pop,michael,12.52,0.0004,58,300,936
love,time,12.46,0.0004,13,85,1151
guitar,west,12.43,0.0004,29,135,1101
country,nostalgic,12.34,0.0004,14,54,1182
melodic,repetitive,12.27,0.0005,15,95,1141
melodic,texture,12.27,0.0005,15,95,1141
dance,electronic,12.26,0.0005,11,69,1167
r&b,vocal,12.23,0.0005,12,46,1190
style,clear,12.05,0.0005,26,162,1074
r&b,good,12.04,0.0005,12,46,1190
r&b,sing,12.02,0.0005,12,46,1190
rock,2010,11.93,0.0006,59,193,1043
bass,foreign,11.85,0.0006,11,68,1168
vocalist,radio,11.82,0.0006,34,210,1026
love,banjo,11.79,0.0006,13,85,1151
alternative,slightly,11.54,0.0007,11,62,1174
alternative,lively,11.54,0.0007,11,62,1174
electronic,event,11.43,0.0007,19,118,1118
funk,groove,11.4,0.0007,12,69,1167
old,eerie,11.4,0.0007,11,69,1167
alternative,2000s,11.35,0.0008,11,62,1174
soul,r&b,11.34,0.0008,17,49,1187
dance,sing,11.12,0.0009,11,69,1167
vocalist,pop,10.93,0.0009,34,210,1026
funk,90,10.8,0.001,12,69,1167
old,woman,10.73,0.0011,11,69,1167
dance,pop,10.69,0.0011,11,69,1167
pop,happy,10.55,0.0012,58,300,936
guitar,european,10.47,0.0012,29,135,1101
alternative,early,10.42,0.0012,11,62,1174
bass,metal,10.42,0.0012,11,68,1168
melodic,video,10.39,0.0013,15,95,1141
male,structure,10.31,0.0013,26,155,1081
male,gritty,10.31,0.0013,26,155,1081
male,man,10.24,0.0014,26,155,1081
funk,dance,10.21,0.0014,12,69,1167
style,soundtrack,10.2,0.0014,26,162,1074
melodic,2000,10.09,0.0015,15,95,1141
melodic,kinda,10.09,0.0015,15,95,1141
dance,backing,10.06,0.0015,11,69,1167
love,emotion,9.91,0.0016,13,85,1151
love,playing,9.91,0.0016,13,85,1151
love,folk,9.91,0.0016,13,85,1151
electronic,edm,9.85,0.0017,19,118,1118
drum,punk,9.67,0.0019,11,51,1185
dance,spanish,9.6,0.002,11,69,1167
vocalist,cheerful,9.58,0.002,34,210,1026
vocalist,city,9.56,0.002,34,210,1026
vocalist,punk,9.48,0.0021,34,210,1026
guitar,quiet,9.46,0.0021,29,135,1101
dance,club,9.39,0.0022,11,69,1167
pop,korean,9.38,0.0022,58,300,936
pop,channel,9.38,0.0022,58,300,936
pop,bittersweet,9.38,0.0022,58,300,936
pop,grande,9.38,0.0022,58,300,936
blue,roll,9.31,0.0023,11,49,1187
blue,acoustic,9.31,0.0023,11,49,1187
alternative,sing,9.25,0.0024,11,62,1174
electronic,cool,9.24,0.0024,19,118,1118
guitar,melodic,9.17,0.0025,29,135,1101
electronic,fun,9.05,0.0026,19,118,1118
drum,roll,8.76,0.0031,11,51,1185
melodic,game,8.59,0.0034,15,95,1141
r&b,opera,8.54,0.0035,12,46,1190
electronic,dramatic,7.92,0.0049,19,118,1118
guitar,french,7.84,0.0051,29,135,1101
funk,electronic,7.75,0.0054,12,69,1167
funk,similar,7.66,0.0057,12,69,1167
funk,drive,7.66,0.0057,12,69,1167
funk,saxophone,7.63,0.0057,12,69,1167
soul,pop,7.62,0.0058,17,49,1187
guitar,metal,7.42,0.0064,29,135,1101
soul,jazz,7.29,0.0069,17,49,1187
drum,spanish,7.26,0.007,11,51,1185
style,epic,7.21,0.0073,26,162,1074
style,tension,7.21,0.0073,26,162,1074
soul,love,7.09,0.0078,17,49,1187
melodic,weird,7.07,0.0078,15,95,1141
soul,girl,6.67,0.0098,17,49,1187
country,time,6.61,0.0101,14,54,1182
style,emotional,6.56,0.0104,26,162,1074
blue,guitar,6.51,0.0108,11,49,1187
blue,old,6.51,0.0107,11,49,1187
style,rnb,6.4,0.0114,26,162,1074
drum,strong,6.19,0.0129,11,51,1185
bass,punk,6.14,0.0132,11,68,1168
old,bar,5.99,0.0144,11,69,1167
bass,intro,5.87,0.0154,11,68,1168
style,line,5.78,0.0162,26,162,1074
old,talk,5.7,0.0169,11,69,1167
drum,catchy,5.57,0.0182,11,51,1185
old,hip-hop,5.52,0.0188,11,69,1167
drum,soft,5.5,0.019,11,51,1185
bass,rock,5.43,0.0198,11,68,1168
piano,techno,5.3,0.0213,13,66,1170
style,powerful,5.27,0.0217,26,162,1074
piano,soft,4.99,0.0254,13,66,1170
piano,theme,4.64,0.0313,13,66,1170
bass,emotional,4.38,0.0364,11,68,1168
country,singer,4.27,0.0387,14,54,1182
old,time,4.26,0.0391,11,69,1167
country,melodic,4.22,0.0399,14,54,1182
old,chorus,3.81,0.0508,11,69,1167
bass,language,3.35,0.0672,11,68,1168
