prompt_word,desc_word,chi2,p_value,prompt_count,desc_with,desc_without
heavy,metal,148.82,0.0,17,75,921
hip-hop,rap,130.07,0.0,24,91,905
metal,rock,89.15,0.0,13,48,948
blue,lullaby,73.84,0.0,11,39,957
heavy,rock,72.61,0.0,17,75,921
soul,woman,69.41,0.0,17,37,959
dance,jackson,55.76,0.0,11,51,945
metal,electric,54.5,0.0,13,48,948
blue,soothe,53.94,0.0,11,39,957
funk,jackson,53.54,0.0,12,53,943
piano,lullaby,51.48,0.0,13,55,941
jazz,christmas,49.57,0.0,15,57,939
r&b,woman,48.65,0.0,12,35,961
male,rock,48.35,0.0,26,124,872
heavy,guitar,44.19,0.0,17,75,921
rock,guitar,42.71,0.0,59,154,842
metal,guitar,42.34,0.0,13,48,948
alternative,rock,40.8,0.0,11,48,948
heavy,electric,40.75,0.0,17,75,921
metal,scream,40.04,0.0,13,48,948
love,opera,39.81,0.0,13,68,928
country,southern,39.68,0.0,14,44,952
female,japanese,38.09,0.0,20,95,901
piano,soothe,37.16,0.0,13,55,941
heavy,drumming,36.95,0.0,17,75,921
heavy,scream,35.31,0.0,17,75,921
female,pop,35.04,0.0,20,95,901
hip-hop,beat,34.18,0.0,24,91,905
rap,british,33.31,0.0,17,69,927
bass,spanish,32.6,0.0,11,52,944
metal,powerful,31.09,0.0,13,48,948
heavy,latin,30.32,0.0,17,75,921
guitar,rock,30.29,0.0,29,105,891
soul,era,30.2,0.0,17,37,959
metal,heavy,30.1,0.0,13,48,948
hip-hop,tupac,29.93,0.0,24,91,905
hip-hop,clap,29.93,0.0,24,91,905
pop,girl,29.79,0.0,58,238,758
jazz,french,29.3,0.0,15,57,939
electronic,potentially,29.22,0.0,19,93,903
rap,hiphop,28.86,0.0,17,69,927
piano,poetry,28.59,0.0,13,55,941
rap,rapper,28.43,0.0,17,69,927
hip-hop,r&b,27.63,0.0,24,91,905
house,edm,27.55,0.0,16,60,936
rock,introduction,27.48,0.0,59,154,842
jazz,restaurant,27.44,0.0,15,57,939
jazz,poetry,27.44,0.0,15,57,939
rock,metal,27.32,0.0,59,154,842
house,dance,27.32,0.0,16,60,936
drum,rock,27.23,0.0,11,39,957
alternative,2000,26.86,0.0,11,48,948
rock,electric,26.49,0.0,59,154,842
heavy,solo,26.17,0.0,17,75,921
piano,jazz,26.12,0.0,13,55,941
house,poetry,25.86,0.0,16,60,936
r&b,man,25.73,0.0,12,35,961
country,guitar,25.3,0.0,14,44,952
dance,latin,25.03,0.0,11,51,945
bass,latin,24.46,0.0,11,52,944
metal,punk,24.13,0.0,13,48,948
hip-hop,soulful,24.07,0.0,24,91,905
electronic,eerie,22.92,0.0,19,93,903
old,brush,22.89,0.0,11,55,941
piano,small,22.89,0.0,13,55,941
guitar,punk,22.84,0.0,29,105,891
metal,hard,22.8,0.0,13,48,948
jazz,smooth,22.3,0.0,15,57,939
soul,eerie,22.27,0.0,17,37,959
alternative,not,22.24,0.0,11,48,948
heavy,strong,22.1,0.0,17,75,921
rap,blend,21.95,0.0,17,69,927
rap,90s,21.95,0.0,17,69,927
rap,trap,21.95,0.0,17,69,927
rock,grunge,21.39,0.0,59,154,842
metal,strong,21.34,0.0,13,48,948
male,jackson,21.16,0.0,26,124,872
male,old,21.1,0.0,26,124,872
rock,drum,20.73,0.0,59,154,842
jazz,instrumental,20.69,0.0,15,57,939
house,say,20.62,0.0,16,60,936
melodic,interesting,20.54,0.0,15,76,920
pop,k,20.52,0.0,58,238,758
blue,country,20.29,0.0,11,39,957
female,cheerful,19.95,0.0,20,95,901
rock,punk,19.75,0.0,59,154,842
vocalist,japanese,19.65,0.0,34,169,827
male,guitar,19.57,0.0,26,124,872
melodic,raspy,19.55,0.0,15,76,920
vocalist,female,19.5,0.0,34,169,827
bass,foreign,19.4,0.0,11,52,944
style,jackson,19.36,0.0,26,134,862
soul,sing,19.33,0.0,17,37,959
pop,asian,19.23,0.0,58,238,758
metal,riff,18.78,0.0,13,48,948
love,time,18.63,0.0,13,68,928
drum,melancholic,18.27,0.0,11,39,957
male,punk,18.08,0.0,26,124,872
house,techno,17.94,0.0,16,60,936
jazz,soft,17.81,0.0,15,57,939
heavy,powerful,17.77,0.0,17,75,921
rap,hip-hop,17.69,0.0,17,69,927
guitar,wild,17.69,0.0,29,105,891
hip-hop,modern,17.47,0.0,24,91,905
female,pitch,17.39,0.0,20,95,901
rap,rnb,17.37,0.0,17,69,927
female,sing,17.31,0.0,20,95,901
rap,accent,17.14,0.0,17,69,927
drum,punk,16.13,0.0001,11,39,957
house,keyboard,16.0,0.0001,16,60,936
old,french,15.81,0.0001,11,55,941
funk,dance,15.73,0.0001,12,53,943
country,melancholic,15.66,0.0001,14,44,952
hip-hop,hint,15.66,0.0001,24,91,905
hip-hop,backup,15.66,0.0001,24,91,905
country,accent,15.66,0.0001,14,44,952
electronic,youtube,15.24,0.0001,19,93,903
vocalist,rock,15.09,0.0001,34,169,827
r&b,vocal,14.87,0.0001,12,35,961
female,1990s,14.83,0.0001,20,95,901
pop,disco,14.81,0.0001,58,238,758
love,piano,14.8,0.0001,13,68,928
bass,metal,14.57,0.0001,11,52,944
alternative,2000s,14.44,0.0001,11,48,948
house,beat,14.36,0.0002,16,60,936
house,drop,14.25,0.0002,16,60,936
dance,upbeat,14.19,0.0002,11,51,945
female,artist,14.08,0.0002,20,95,901
male,metal,14.08,0.0002,26,124,872
hip-hop,good,14.04,0.0002,24,91,905
old,woman,13.57,0.0002,11,55,941
old,eerie,13.46,0.0002,11,55,941
guitar,west,13.03,0.0003,29,105,891
rock,energetic,13.0,0.0003,59,154,842
female,disney,12.83,0.0003,20,95,901
drum,guitar,12.58,0.0004,11,39,957
electronic,club,12.47,0.0004,19,93,903
melodic,texture,12.41,0.0004,15,76,920
melodic,kinda,12.41,0.0004,15,76,920
alternative,punk,12.23,0.0005,11,48,948
funk,groove,12.21,0.0005,12,53,943
female,woman,12.14,0.0005,20,95,901
vocalist,radio,11.87,0.0006,34,169,827
pop,group,11.81,0.0006,58,238,758
rap,french,11.69,0.0006,17,69,927
blue,roll,11.58,0.0007,11,39,957
love,main,11.56,0.0007,13,68,928
female,city,11.45,0.0007,20,95,901
electronic,lot,11.42,0.0007,19,93,903
vocalist,punk,11.15,0.0008,34,169,827
alternative,early,11.13,0.0009,11,48,948
guitar,metal,11.07,0.0009,29,105,891
dance,club,11.04,0.0009,11,51,945
rock,combine,10.89,0.001,59,154,842
r&b,good,10.84,0.001,12,35,961
dance,electronic,10.79,0.001,11,51,945
alternative,sing,10.76,0.001,11,48,948
dance,pop,10.63,0.0011,11,51,945
vocalist,city,10.58,0.0011,34,169,827
male,riff,10.43,0.0012,26,124,872
male,gritty,10.42,0.0012,26,124,872
pop,language,10.35,0.0013,58,238,758
blue,old,10.27,0.0014,11,39,957
blue,slow,10.25,0.0014,11,39,957
funk,electronic,10.06,0.0015,12,53,943
love,playing,10.03,0.0015,13,68,928
male,man,9.91,0.0016,26,124,872
male,electric,9.91,0.0016,26,124,872
dance,house,9.88,0.0017,11,51,945
dance,spanish,9.88,0.0017,11,51,945
vocalist,pop,9.86,0.0017,34,169,827
soul,good,9.85,0.0017,17,37,959
bass,intro,9.81,0.0017,11,52,944
bass,heavy,9.74,0.0018,11,52,944
vocalist,cheerful,9.6,0.0019,34,169,827
pop,channel,9.58,0.002,58,238,758
pop,bittersweet,9.58,0.002,58,238,758
pop,jackson,9.58,0.002,58,238,758
pop,advertisement,9.58,0.002,58,238,758
alternative,grunge,9.57,0.002,11,48,948
love,build,9.42,0.0021,13,68,928
house,80,9.36,0.0022,16,60,936
electronic,fun,9.36,0.0022,19,93,903
r&b,sing,9.35,0.0022,12,35,961
guitar,melancholic,9.29,0.0023,29,105,891
love,guitar,9.29,0.0023,13,68,928
style,soundtrack,9.25,0.0024,26,134,862
jazz,club,9.25,0.0024,15,57,939
style,southern,9.25,0.0024,26,134,862
style,clear,9.25,0.0024,26,134,862
rock,solo,9.22,0.0024,59,154,842
dance,sing,9.17,0.0025,11,51,945
house,minimal,8.87,0.0029,16,60,936
jazz,bass,8.85,0.0029,15,57,939
melodic,video,8.83,0.003,15,76,920
love,walk,8.53,0.0035,13,68,928
jazz,keyboard,8.37,0.0038,15,57,939
electronic,house,8.26,0.004,19,93,903
soul,slow,8.1,0.0044,17,37,959
vocalist,school,8.08,0.0045,34,169,827
r&b,smooth,7.94,0.0048,12,35,961
electronic,come,7.8,0.0052,19,93,903
electronic,dramatic,7.8,0.0052,19,93,903
r&b,pop,7.65,0.0057,12,35,961
electronic,fi,7.56,0.006,19,93,903
alternative,lot,7.53,0.0061,11,48,948
soul,jazz,7.53,0.0061,17,37,959
vocalist,lot,7.36,0.0067,34,169,827
funk,funky,7.31,0.0068,12,53,943
melodic,pace,7.27,0.007,15,76,920
blue,guitar,7.21,0.0073,11,39,957
style,epic,6.92,0.0085,26,134,862
style,rnb,6.92,0.0085,26,134,862
old,hip-hop,6.9,0.0086,11,55,941
old,time,6.89,0.0087,11,55,941
melodic,steady,6.89,0.0087,15,76,920
love,emotional,6.83,0.009,13,68,928
funk,90,6.81,0.0091,12,53,943
funk,drive,6.81,0.0091,12,53,943
r&b,love,6.8,0.0091,12,35,961
blue,jazz,6.79,0.0092,11,39,957
guitar,foreign,6.69,0.0097,29,105,891
