prompt_word,desc_word,chi2,p_value,prompt_count,desc_with,desc_without
blue,smooth,6.67,0.0098,11,39,957
blue,string,6.67,0.0098,11,39,957
dance,woman,6.54,0.0105,11,51,945
love,country,6.42,0.0113,13,68,928
alternative,vocal,6.36,0.0117,11,48,948
soul,man,6.33,0.0119,17,37,959
style,emotional,6.22,0.0126,26,134,862
guitar,french,6.21,0.0127,29,105,891
melodic,game,6.2,0.0128,15,76,920
style,slow,6.17,0.013,26,134,862
piano,build,6.12,0.0134,13,55,941
piano,talk,6.12,0.0134,13,55,941
melodic,man,5.84,0.0156,15,76,920
funk,make,5.82,0.0158,12,53,943
guitar,melodic,5.77,0.0163,29,105,891
bass,sound,5.77,0.0163,11,52,944
guitar,electric,5.66,0.0173,29,105,891
drum,electric,5.66,0.0173,11,39,957
drum,strong,5.66,0.0173,11,39,957
piano,soft,5.51,0.0189,13,55,941
piano,theme,5.45,0.0195,13,55,941
bass,electric,5.4,0.0201,11,52,944
style,disco,5.23,0.0221,26,134,862
funk,bright,5.22,0.0224,12,53,943
style,steady,4.89,0.027,26,134,862
bass,percussion,4.85,0.0276,11,52,944
bass,emotional,4.85,0.0276,11,52,944
drum,lot,4.82,0.0282,11,39,957
drum,fast,4.74,0.0295,11,39,957
funk,energy,4.68,0.0305,12,53,943
melodic,fast,4.68,0.0305,15,76,920
old,sound,4.54,0.033,11,55,941
country,example,4.53,0.0333,14,44,952
country,feel,3.89,0.0487,14,44,952
soul,pop,3.88,0.0489,17,37,959
soul,feature,3.53,0.0604,17,37,959
piano,smooth,3.51,0.0608,13,55,941
country,singer,3.33,0.068,14,44,952
drum,soft,3.1,0.0784,11,39,957
old,male,3.07,0.08,11,55,941
old,pace,3.01,0.0827,11,55,941
old,lyric,2.69,0.1007,11,55,941
drum,man,2.62,0.1058,11,39,957
r&b,word,2.39,0.122,12,35,961
country,male,1.92,0.1658,14,44,952
country,man,1.83,0.176,14,44,952
r&b,slow,1.81,0.1785,12,35,961
country,background,1.22,0.269,14,44,952
