text_id,song_id,corpus,category,presence,density
p00011,291b2f9c-c41b-4ab8-9,prompt,function,0,0.0
p00011,291b2f9c-c41b-4ab8-9,prompt,theory,0,0.0
p00011,291b2f9c-c41b-4ab8-9,prompt,story,1,0.7142857142857143
p00012,df0117f3-743c-460c-9,prompt,genre,1,0.4
p00012,df0117f3-743c-460c-9,prompt,mood,0,0.0
p00012,df0117f3-743c-460c-9,prompt,instrumentation,1,0.2
p00012,df0117f3-743c-460c-9,prompt,timbre,1,0.2
p00012,df0117f3-743c-460c-9,prompt,function,0,0.0
p00012,df0117f3-743c-460c-9,prompt,theory,0,0.0
p00012,df0117f3-743c-460c-9,prompt,story,1,0.2
p00013,df09d518-7cb4-43d2-b,prompt,genre,1,0.1428571428571428
p00013,df09d518-7cb4-43d2-b,prompt,mood,0,0.0
p00013,df09d518-7cb4-43d2-b,prompt,instrumentation,1,0.1428571428571428
p00013,df09d518-7cb4-43d2-b,prompt,timbre,1,0.1428571428571428
p00013,df09d518-7cb4-43d2-b,prompt,function,1,0.1428571428571428
p00013,df09d518-7cb4-43d2-b,prompt,theory,1,0.1428571428571428
p00013,df09d518-7cb4-43d2-b,prompt,story,1,0.2857142857142857
p00014,f8439571-23e6-4c8a-9,prompt,genre,1,1.0
p00014,f8439571-23e6-4c8a-9,prompt,mood,0,0.0
p00014,f8439571-23e6-4c8a-9,prompt,instrumentation,0,0.0
p00014,f8439571-23e6-4c8a-9,prompt,timbre,0,0.0
p00014,f8439571-23e6-4c8a-9,prompt,function,0,0.0
p00014,f8439571-23e6-4c8a-9,prompt,theory,0,0.0
p00014,f8439571-23e6-4c8a-9,prompt,story,0,0.0
p00015,f87d8dbf-83a9-4c58-a,prompt,genre,1,0.25
p00015,f87d8dbf-83a9-4c58-a,prompt,mood,0,0.0
p00015,f87d8dbf-83a9-4c58-a,prompt,instrumentation,0,0.0
p00015,f87d8dbf-83a9-4c58-a,prompt,timbre,0,0.0
p00015,f87d8dbf-83a9-4c58-a,prompt,function,0,0.0
p00015,f87d8dbf-83a9-4c58-a,prompt,theory,0,0.0
p00015,f87d8dbf-83a9-4c58-a,prompt,story,1,0.75
p00016,b1c7f9c0-da77-440b-8,prompt,genre,1,0.25
p00016,b1c7f9c0-da77-440b-8,prompt,mood,0,0.0
p00016,b1c7f9c0-da77-440b-8,prompt,instrumentation,0,0.0
p00016,b1c7f9c0-da77-440b-8,prompt,timbre,0,0.0
p00016,b1c7f9c0-da77-440b-8,prompt,function,0,0.0
p00016,b1c7f9c0-da77-440b-8,prompt,theory,0,0.0
p00016,b1c7f9c0-da77-440b-8,prompt,story,1,0.75
p00017,0a1282d5-b306-49f4-b,prompt,genre,1,0.4
p00017,0a1282d5-b306-49f4-b,prompt,mood,0,0.0
p00017,0a1282d5-b306-49f4-b,prompt,instrumentation,0,0.0
p00017,0a1282d5-b306-49f4-b,prompt,timbre,0,0.0
p00017,0a1282d5-b306-49f4-b,prompt,function,0,0.0
p00017,0a1282d5-b306-49f4-b,prompt,theory,0,0.0
p00017,0a1282d5-b306-49f4-b,prompt,story,1,0.6
p00018,4edf7524-0d23-48f2-9,prompt,genre,0,0.0
p00018,4edf7524-0d23-48f2-9,prompt,mood,1,0.5
p00018,4edf7524-0d23-48f2-9,prompt,instrumentation,0,0.0
p00018,4edf7524-0d23-48f2-9,prompt,timbre,0,0.0
p00018,4edf7524-0d23-48f2-9,prompt,function,0,0.0
p00018,4edf7524-0d23-48f2-9,prompt,theory,1,0.25
p00018,4edf7524-0d23-48f2-9,prompt,story,1,0.25
p00019,85c89132-e0ce-42d5-9,prompt,genre,1,0.6
p00019,85c89132-e0ce-42d5-9,prompt,mood,0,0.0
p00019,85c89132-e0ce-42d5-9,prompt,instrumentation,1,0.2
p00019,85c89132-e0ce-42d5-9,prompt,timbre,0,0.0
p00019,85c89132-e0ce-42d5-9,prompt,function,0,0.0
p00019,85c89132-e0ce-42d5-9,prompt,theory,0,0.0
p00019,85c89132-e0ce-42d5-9,prompt,story,1,0.2
p00020,304f77ae-6961-4c73-b,prompt,genre,1,0.5
p00020,304f77ae-6961-4c73-b,prompt,mood,0,0.0
p00020,304f77ae-6961-4c73-b,prompt,instrumentation,0,0.0
p00020,304f77ae-6961-4c73-b,prompt,timbre,0,0.0
p00020,304f77ae-6961-4c73-b,prompt,function,0,0.0
p00020,304f77ae-6961-4c73-b,prompt,theory,0,0.0
p00020,304f77ae-6961-4c73-b,prompt,story,1,0.5
p00021,9a12553b-7ae1-4e35-9,prompt,genre,0,0.0
p00021,9a12553b-7ae1-4e35-9,prompt,mood,0,0.0
p00021,9a12553b-7ae1-4e35-9,prompt,instrumentation,0,0.0
p00021,9a12553b-7ae1-4e35-9,prompt,timbre,0,0.0
p00021,9a12553b-7ae1-4e35-9,prompt,function,0,0.0
p00021,9a12553b-7ae1-4e35-9,prompt,theory,0,0.0
p00021,9a12553b-7ae1-4e35-9,prompt,story,1,1.0
p00022,9a2bd396-3954-4d40-b,prompt,genre,1,0.4
p00022,9a2bd396-3954-4d40-b,prompt,mood,1,0.2
p00022,9a2bd396-3954-4d40-b,prompt,instrumentation,1,0.2
p00022,9a2bd396-3954-4d40-b,prompt,timbre,1,0.2
p00022,9a2bd396-3954-4d40-b,prompt,function,0,0.0
p00022,9a2bd396-3954-4d40-b,prompt,theory,0,0.0
p00022,9a2bd396-3954-4d40-b,prompt,story,0,0.0
p00023,9a30a0c9-b192-4113-b,prompt,genre,1,0.5
p00023,9a30a0c9-b192-4113-b,prompt,mood,0,0.0
p00023,9a30a0c9-b192-4113-b,prompt,instrumentation,0,0.0
p00023,9a30a0c9-b192-4113-b,prompt,timbre,0,0.0
p00023,9a30a0c9-b192-4113-b,prompt,function,0,0.0
p00023,9a30a0c9-b192-4113-b,prompt,theory,1,0.25
p00023,9a30a0c9-b192-4113-b,prompt,story,1,0.25
p00024,9a496feb-6a67-4f22-a,prompt,genre,1,0.5714285714285714
p00024,9a496feb-6a67-4f22-a,prompt,mood,0,0.0
p00024,9a496feb-6a67-4f22-a,prompt,instrumentation,1,0.2857142857142857
p00024,9a496feb-6a67-4f22-a,prompt,timbre,0,0.0
p00024,9a496feb-6a67-4f22-a,prompt,function,0,0.0
p00024,9a496feb-6a67-4f22-a,prompt,theory,1,0.1428571428571428
p00024,9a496feb-6a67-4f22-a,prompt,story,0,0.0
p00025,9a4d75e7-de00-4931-9,prompt,genre,1,0.5
p00025,9a4d75e7-de00-4931-9,prompt,mood,0,0.0
p00025,9a4d75e7-de00-4931-9,prompt,instrumentation,0,0.0
p00025,9a4d75e7-de00-4931-9,prompt,timbre,0,0.0
p00025,9a4d75e7-de00-4931-9,prompt,function,0,0.0
p00025,9a4d75e7-de00-4931-9,prompt,theory,0,0.0
p00025,9a4d75e7-de00-4931-9,prompt,story,1,0.5
p00026,21ee8bb8-76c4-41d2-b,prompt,genre,1,0.3333333333333333
p00026,21ee8bb8-76c4-41d2-b,prompt,mood,0,0.0
p00026,21ee8bb8-76c4-41d2-b,prompt,instrumentation,1,0.1666666666666666
p00026,21ee8bb8-76c4-41d2-b,prompt,timbre,0,0.0
p00026,21ee8bb8-76c4-41d2-b,prompt,function,0,0.0
p00026,21ee8bb8-76c4-41d2-b,prompt,theory,1,0.5
p00026,21ee8bb8-76c4-41d2-b,prompt,story,0,0.0
p00027,5de77170-9628-498c-8,prompt,genre,1,0.1428571428571428
p00027,5de77170-9628-498c-8,prompt,mood,0,0.0
p00027,5de77170-9628-498c-8,prompt,instrumentation,1,0.8571428571428571
p00027,5de77170-9628-498c-8,prompt,timbre,0,0.0
p00027,5de77170-9628-498c-8,prompt,function,0,0.0
p00027,5de77170-9628-498c-8,prompt,theory,0,0.0
p00027,5de77170-9628-498c-8,prompt,story,0,0.0
p00028,5de9f530-88d9-44a5-9,prompt,genre,1,0.3
p00028,5de9f530-88d9-44a5-9,prompt,mood,1,0.2
p00028,5de9f530-88d9-44a5-9,prompt,instrumentation,1,0.2
p00028,5de9f530-88d9-44a5-9,prompt,timbre,1,0.1
p00028,5de9f530-88d9-44a5-9,prompt,function,0,0.0
p00028,5de9f530-88d9-44a5-9,prompt,theory,1,0.1
p00028,5de9f530-88d9-44a5-9,prompt,story,1,0.1
p00029,b63b2d28-ca13-4ae8-b,prompt,genre,1,0.25
p00029,b63b2d28-ca13-4ae8-b,prompt,mood,0,0.0
p00029,b63b2d28-ca13-4ae8-b,prompt,instrumentation,0,0.0
p00029,b63b2d28-ca13-4ae8-b,prompt,timbre,0,0.0
p00029,b63b2d28-ca13-4ae8-b,prompt,function,0,0.0
p00029,b63b2d28-ca13-4ae8-b,prompt,theory,0,0.0
p00029,b63b2d28-ca13-4ae8-b,prompt,story,1,0.75
p00030,ee070cac-0af1-4d86-9,prompt,genre,1,0.2857142857142857
p00030,ee070cac-0af1-4d86-9,prompt,mood,1,0.1428571428571428
p00030,ee070cac-0af1-4d86-9,prompt,instrumentation,1,0.2857142857142857
p00030,ee070cac-0af1-4d86-9,prompt,timbre,0,0.0
p00030,ee070cac-0af1-4d86-9,prompt,function,0,0.0
p00030,ee070cac-0af1-4d86-9,prompt,theory,0,0.0
p00030,ee070cac-0af1-4d86-9,prompt,story,1,0.2857142857142857
p00031,ee0aa1b5-2bb6-4770-a,prompt,genre,1,0.2222222222222222
p00031,ee0aa1b5-2bb6-4770-a,prompt,mood,1,0.2222222222222222
p00031,ee0aa1b5-2bb6-4770-a,prompt,instrumentation,1,0.3333333333333333
p00031,ee0aa1b5-2bb6-4770-a,prompt,timbre,1,0.1111111111111111
p00031,ee0aa1b5-2bb6-4770-a,prompt,function,0,0.0
p00031,ee0aa1b5-2bb6-4770-a,prompt,theory,1,0.1111111111111111
p00031,ee0aa1b5-2bb6-4770-a,prompt,story,0,0.0
p00032,05c85698-35f9-4ca9-a,prompt,genre,1,0.25
p00032,05c85698-35f9-4ca9-a,prompt,mood,0,0.0
p00032,05c85698-35f9-4ca9-a,prompt,instrumentation,0,0.0
p00032,05c85698-35f9-4ca9-a,prompt,timbre,0,0.0
p00032,05c85698-35f9-4ca9-a,prompt,function,0,0.0
p00032,05c85698-35f9-4ca9-a,prompt,theory,0,0.0
p00032,05c85698-35f9-4ca9-a,prompt,story,1,0.75
p00033,0e4f6e42-e8a1-4618-9,prompt,genre,1,0.2
p00033,0e4f6e42-e8a1-4618-9,prompt,mood,0,0.0
p00033,0e4f6e42-e8a1-4618-9,prompt,instrumentation,1,0.2
p00033,0e4f6e42-e8a1-4618-9,prompt,timbre,0,0.0
p00033,0e4f6e42-e8a1-4618-9,prompt,function,1,0.2
p00033,0e4f6e42-e8a1-4618-9,prompt,theory,0,0.0
p00033,0e4f6e42-e8a1-4618-9,prompt,story,1,0.4
p00034,af092e6b-dce4-4354-8,prompt,genre,0,0.0
p00034,af092e6b-dce4-4354-8,prompt,mood,1,0.3333333333333333
p00034,af092e6b-dce4-4354-8,prompt,instrumentation,1,0.3333333333333333
