text_id,song_id,corpus,category,presence,density
d00000,f5e3d294-de4a-4be3-9,description,genre,0,0.0
d00000,f5e3d294-de4a-4be3-9,description,mood,1,0.3333333333333333
d00000,f5e3d294-de4a-4be3-9,description,instrumentation,0,0.0
d00000,f5e3d294-de4a-4be3-9,description,timbre,0,0.0
d00000,f5e3d294-de4a-4be3-9,description,function,1,0.1666666666666666
d00000,f5e3d294-de4a-4be3-9,description,theory,1,0.1666666666666666
d00000,f5e3d294-de4a-4be3-9,description,story,1,0.3333333333333333
d00001,ee0aa1b5-2bb6-4770-a,description,genre,0,0.0
d00001,ee0aa1b5-2bb6-4770-a,description,mood,0,0.0
d00001,ee0aa1b5-2bb6-4770-a,description,instrumentation,0,0.0
d00001,ee0aa1b5-2bb6-4770-a,description,timbre,0,0.0
d00001,ee0aa1b5-2bb6-4770-a,description,function,0,0.0
d00001,ee0aa1b5-2bb6-4770-a,description,theory,0,0.0
d00001,ee0aa1b5-2bb6-4770-a,description,story,1,1.0
d00002,e89bff81-fa30-4d94-8,description,genre,1,0.2
d00002,e89bff81-fa30-4d94-8,description,mood,1,0.2
d00002,e89bff81-fa30-4d94-8,description,instrumentation,0,0.0
d00002,e89bff81-fa30-4d94-8,description,timbre,0,0.0
d00002,e89bff81-fa30-4d94-8,description,function,1,0.2
d00002,e89bff81-fa30-4d94-8,description,theory,0,0.0
d00002,e89bff81-fa30-4d94-8,description,story,1,0.4
d00003,e7de29c9-e9dd-4a06-a,description,genre,1,0.2
d00003,e7de29c9-e9dd-4a06-a,description,mood,1,0.2
d00003,e7de29c9-e9dd-4a06-a,description,instrumentation,1,0.2
d00003,e7de29c9-e9dd-4a06-a,description,timbre,0,0.0
d00003,e7de29c9-e9dd-4a06-a,description,function,0,0.0
d00003,e7de29c9-e9dd-4a06-a,description,theory,0,0.0
d00003,e7de29c9-e9dd-4a06-a,description,story,1,0.4
d00004,e0aea9d2-f3fe-4e97-a,description,genre,0,0.0
d00004,e0aea9d2-f3fe-4e97-a,description,mood,0,0.0
d00004,e0aea9d2-f3fe-4e97-a,description,instrumentation,0,0.0
d00004,e0aea9d2-f3fe-4e97-a,description,timbre,1,0.5
d00004,e0aea9d2-f3fe-4e97-a,description,function,0,0.0
d00004,e0aea9d2-f3fe-4e97-a,description,theory,0,0.0
d00004,e0aea9d2-f3fe-4e97-a,description,story,1,0.5
d00005,d2cf4cdf-f303-4ef9-9,description,genre,1,0.5
d00005,d2cf4cdf-f303-4ef9-9,description,mood,0,0.0
d00005,d2cf4cdf-f303-4ef9-9,description,instrumentation,0,0.0
d00005,d2cf4cdf-f303-4ef9-9,description,timbre,1,0.5
d00005,d2cf4cdf-f303-4ef9-9,description,function,0,0.0
d00005,d2cf4cdf-f303-4ef9-9,description,theory,0,0.0
d00005,d2cf4cdf-f303-4ef9-9,description,story,0,0.0
d00006,d2bec18a-bac3-48cb-b,description,genre,1,0.5
d00006,d2bec18a-bac3-48cb-b,description,mood,1,0.25
d00006,d2bec18a-bac3-48cb-b,description,instrumentation,0,0.0
d00006,d2bec18a-bac3-48cb-b,description,timbre,0,0.0
d00006,d2bec18a-bac3-48cb-b,description,function,1,0.25
d00006,d2bec18a-bac3-48cb-b,description,theory,0,0.0
d00006,d2bec18a-bac3-48cb-b,description,story,0,0.0
d00007,c21d9593-e7e4-41fe-b,description,genre,1,1.0
d00007,c21d9593-e7e4-41fe-b,description,mood,0,0.0
d00007,c21d9593-e7e4-41fe-b,description,instrumentation,0,0.0
d00007,c21d9593-e7e4-41fe-b,description,timbre,0,0.0
d00007,c21d9593-e7e4-41fe-b,description,function,0,0.0
d00007,c21d9593-e7e4-41fe-b,description,theory,0,0.0
d00007,c21d9593-e7e4-41fe-b,description,story,0,0.0
d00008,a5ac307b-e75d-47b1-9,description,genre,1,0.3333333333333333
d00008,a5ac307b-e75d-47b1-9,description,mood,0,0.0
d00008,a5ac307b-e75d-47b1-9,description,instrumentation,0,0.0
d00008,a5ac307b-e75d-47b1-9,description,timbre,0,0.0
d00008,a5ac307b-e75d-47b1-9,description,function,0,0.0
d00008,a5ac307b-e75d-47b1-9,description,theory,0,0.0
d00008,a5ac307b-e75d-47b1-9,description,story,1,0.6666666666666666
d00009,9a4d75e7-de00-4931-9,description,genre,0,0.0
d00009,9a4d75e7-de00-4931-9,description,mood,0,0.0
d00009,9a4d75e7-de00-4931-9,description,instrumentation,0,0.0
d00009,9a4d75e7-de00-4931-9,description,timbre,0,0.0
d00009,9a4d75e7-de00-4931-9,description,function,0,0.0
d00009,9a4d75e7-de00-4931-9,description,theory,0,0.0
d00009,9a4d75e7-de00-4931-9,description,story,1,1.0
d00010,91f9b933-c02b-47df-9,description,genre,0,0.0
d00010,91f9b933-c02b-47df-9,description,mood,0,0.0
d00010,91f9b933-c02b-47df-9,description,instrumentation,1,0.25
d00010,91f9b933-c02b-47df-9,description,timbre,1,0.5
