prompt_word,prompt_count,songs_with_word,desc_with,desc_without,top_chi2_words
rock,59,31,154,842,"guitar(chi2=42.71, p=0.0), introduction(chi2=27.48, p=0.0), metal(chi2=27.32, p=0.0), electric(chi2=26.49, p=0.0), grunge(chi2=21.39, p=0.0), drum(chi2=20.73, p=0.0), punk(chi2=19.75, p=0.0), energetic(chi2=13.0, p=0.0003), combine(chi2=10.89, p=0.001), solo(chi2=9.22, p=0.0024)"
pop,58,49,238,758,"girl(chi2=29.79, p=0.0), k(chi2=20.52, p=0.0), asian(chi2=19.23, p=0.0), disco(chi2=14.81, p=0.0001), group(chi2=11.81, p=0.0006), language(chi2=10.35, p=0.0013), advertisement(chi2=9.58, p=0.002), jackson(chi2=9.58, p=0.002), bittersweet(chi2=9.58, p=0.002), channel(chi2=9.58, p=0.002)"
vocalist,34,34,169,827,"japanese(chi2=19.65, p=0.0), female(chi2=19.5, p=0.0), rock(chi2=15.09, p=0.0001), radio(chi2=11.87, p=0.0006), punk(chi2=11.15, p=0.0008), city(chi2=10.58, p=0.0011), pop(chi2=9.86, p=0.0017), cheerful(chi2=9.6, p=0.0019), school(chi2=8.08, p=0.0045), lot(chi2=7.36, p=0.0067)"
guitar,29,22,105,891,"rock(chi2=30.29, p=0.0), punk(chi2=22.84, p=0.0), wild(chi2=17.69, p=0.0), west(chi2=13.03, p=0.0003), metal(chi2=11.07, p=0.0009), melancholic(chi2=9.29, p=0.0023), foreign(chi2=6.69, p=0.0097), french(chi2=6.21, p=0.0127), melodic(chi2=5.77, p=0.0163), electric(chi2=5.66, p=0.0173)"
male,26,25,124,872,"rock(chi2=48.35, p=0.0), jackson(chi2=21.16, p=0.0), old(chi2=21.1, p=0.0), guitar(chi2=19.57, p=0.0), punk(chi2=18.08, p=0.0), metal(chi2=14.08, p=0.0002), riff(chi2=10.43, p=0.0012), gritty(chi2=10.42, p=0.0012), electric(chi2=9.91, p=0.0016), man(chi2=9.91, p=0.0016)"
style,26,26,134,862,"jackson(chi2=19.36, p=0.0), soundtrack(chi2=9.25, p=0.0024), clear(chi2=9.25, p=0.0024), southern(chi2=9.25, p=0.0024), epic(chi2=6.92, p=0.0085), rnb(chi2=6.92, p=0.0085), emotional(chi2=6.22, p=0.0126), slow(chi2=6.17, p=0.013), disco(chi2=5.23, p=0.0221), steady(chi2=4.89, p=0.027)"
hip-hop,24,19,91,905,"rap(chi2=130.07, p=0.0), beat(chi2=34.18, p=0.0), clap(chi2=29.93, p=0.0), tupac(chi2=29.93, p=0.0), r&b(chi2=27.63, p=0.0), soulful(chi2=24.07, p=0.0), modern(chi2=17.47, p=0.0), hint(chi2=15.66, p=0.0001), backup(chi2=15.66, p=0.0001), good(chi2=14.04, p=0.0002)"
female,20,19,95,901,"japanese(chi2=38.09, p=0.0), pop(chi2=35.04, p=0.0), cheerful(chi2=19.95, p=0.0), pitch(chi2=17.39, p=0.0), sing(chi2=17.31, p=0.0), 1990s(chi2=14.83, p=0.0001), artist(chi2=14.08, p=0.0002), disney(chi2=12.83, p=0.0003), woman(chi2=12.14, p=0.0005), city(chi2=11.45, p=0.0007)"
electronic,19,19,93,903,"potentially(chi2=29.22, p=0.0), eerie(chi2=22.92, p=0.0), youtube(chi2=15.24, p=0.0001), club(chi2=12.47, p=0.0004), lot(chi2=11.42, p=0.0007), fun(chi2=9.36, p=0.0022), house(chi2=8.26, p=0.004), dramatic(chi2=7.8, p=0.0052), come(chi2=7.8, p=0.0052), fi(chi2=7.56, p=0.006)"
heavy,17,15,75,921,"metal(chi2=148.82, p=0.0), rock(chi2=72.61, p=0.0), guitar(chi2=44.19, p=0.0), electric(chi2=40.75, p=0.0), drumming(chi2=36.95, p=0.0), scream(chi2=35.31, p=0.0), latin(chi2=30.32, p=0.0), solo(chi2=26.17, p=0.0), strong(chi2=22.1, p=0.0), powerful(chi2=17.77, p=0.0)"
