prompt_word,prompt_count,songs_with_word,desc_with,desc_without,top_chi2_words
soul,17,8,37,959,"woman(chi2=69.41, p=0.0), era(chi2=30.2, p=0.0), eerie(chi2=22.27, p=0.0), sing(chi2=19.33, p=0.0), good(chi2=9.85, p=0.0017), slow(chi2=8.1, p=0.0044), jazz(chi2=7.53, p=0.0061), man(chi2=6.33, p=0.0119), pop(chi2=3.88, p=0.0489), feature(chi2=3.53, p=0.0604)"
rap,17,14,69,927,"british(chi2=33.31, p=0.0), hiphop(chi2=28.86, p=0.0), rapper(chi2=28.43, p=0.0), 90s(chi2=21.95, p=0.0), trap(chi2=21.95, p=0.0), blend(chi2=21.95, p=0.0), hip-hop(chi2=17.69, p=0.0), rnb(chi2=17.37, p=0.0), accent(chi2=17.14, p=0.0), french(chi2=11.69, p=0.0006)"
house,16,12,60,936,"edm(chi2=27.55, p=0.0), dance(chi2=27.32, p=0.0), poetry(chi2=25.86, p=0.0), say(chi2=20.62, p=0.0), techno(chi2=17.94, p=0.0), keyboard(chi2=16.0, p=0.0001), beat(chi2=14.36, p=0.0002), drop(chi2=14.25, p=0.0002), 80(chi2=9.36, p=0.0022), minimal(chi2=8.87, p=0.0029)"
melodic,15,15,76,920,"interesting(chi2=20.54, p=0.0), raspy(chi2=19.55, p=0.0), texture(chi2=12.41, p=0.0004), kinda(chi2=12.41, p=0.0004), video(chi2=8.83, p=0.003), pace(chi2=7.27, p=0.007), steady(chi2=6.89, p=0.0087), game(chi2=6.2, p=0.0128), man(chi2=5.84, p=0.0156), fast(chi2=4.68, p=0.0305)"
jazz,15,11,57,939,"christmas(chi2=49.57, p=0.0), french(chi2=29.3, p=0.0), restaurant(chi2=27.44, p=0.0), poetry(chi2=27.44, p=0.0), smooth(chi2=22.3, p=0.0), instrumental(chi2=20.69, p=0.0), soft(chi2=17.81, p=0.0), club(chi2=9.25, p=0.0024), bass(chi2=8.85, p=0.0029), keyboard(chi2=8.37, p=0.0038)"
country,14,9,44,952,"southern(chi2=39.68, p=0.0), guitar(chi2=25.3, p=0.0), melancholic(chi2=15.66, p=0.0001), accent(chi2=15.66, p=0.0001), example(chi2=4.53, p=0.0333), feel(chi2=3.89, p=0.0487), singer(chi2=3.33, p=0.068), male(chi2=1.92, p=0.1658), man(chi2=1.83, p=0.176), background(chi2=1.22, p=0.269)"
piano,13,10,55,941,"lullaby(chi2=51.48, p=0.0), soothe(chi2=37.16, p=0.0), poetry(chi2=28.59, p=0.0), jazz(chi2=26.12, p=0.0), small(chi2=22.89, p=0.0), build(chi2=6.12, p=0.0134), talk(chi2=6.12, p=0.0134), soft(chi2=5.51, p=0.0189), theme(chi2=5.45, p=0.0195), smooth(chi2=3.51, p=0.0608)"
metal,13,10,48,948,"rock(chi2=89.15, p=0.0), electric(chi2=54.5, p=0.0), guitar(chi2=42.34, p=0.0), scream(chi2=40.04, p=0.0), powerful(chi2=31.09, p=0.0), heavy(chi2=30.1, p=0.0), punk(chi2=24.13, p=0.0), hard(chi2=22.8, p=0.0), strong(chi2=21.34, p=0.0), riff(chi2=18.78, p=0.0)"
love,13,13,68,928,"opera(chi2=39.81, p=0.0), time(chi2=18.63, p=0.0), piano(chi2=14.8, p=0.0001), main(chi2=11.56, p=0.0007), playing(chi2=10.03, p=0.0015), build(chi2=9.42, p=0.0021), guitar(chi2=9.29, p=0.0023), walk(chi2=8.53, p=0.0035), emotional(chi2=6.83, p=0.009), country(chi2=6.42, p=0.0113)"
funk,12,11,53,943,"jackson(chi2=53.54, p=0.0), dance(chi2=15.73, p=0.0001), groove(chi2=12.21, p=0.0005), electronic(chi2=10.06, p=0.0015), funky(chi2=7.31, p=0.0068), 90(chi2=6.81, p=0.0091), drive(chi2=6.81, p=0.0091), make(chi2=5.82, p=0.0158), bright(chi2=5.22, p=0.0224), energy(chi2=4.68, p=0.0305)"
r&b,12,8,35,961,"woman(chi2=48.65, p=0.0), man(chi2=25.73, p=0.0), vocal(chi2=14.87, p=0.0001), good(chi2=10.84, p=0.001), sing(chi2=9.35, p=0.0022), smooth(chi2=7.94, p=0.0048), pop(chi2=7.65, p=0.0057), love(chi2=6.8, p=0.0091), word(chi2=2.39, p=0.122), slow(chi2=1.81, p=0.1785)"
blue,11,8,39,957,"lullaby(chi2=73.84, p=0.0), soothe(chi2=53.94, p=0.0), country(chi2=20.29, p=0.0), roll(chi2=11.58, p=0.0007), old(chi2=10.27, p=0.0014), slow(chi2=10.25, p=0.0014), guitar(chi2=7.21, p=0.0073), jazz(chi2=6.79, p=0.0092), string(chi2=6.67, p=0.0098), smooth(chi2=6.67, p=0.0098)"
bass,11,11,52,944,"spanish(chi2=32.6, p=0.0), latin(chi2=24.46, p=0.0), foreign(chi2=19.4, p=0.0), metal(chi2=14.57, p=0.0001), intro(chi2=9.81, p=0.0017), heavy(chi2=9.74, p=0.0018), sound(chi2=5.77, p=0.0163), electric(chi2=5.4, p=0.0201), emotional(chi2=4.85, p=0.0276), percussion(chi2=4.85, p=0.0276)"
alternative,11,10,48,948,"rock(chi2=40.8, p=0.0), 2000(chi2=26.86, p=0.0), not(chi2=22.24, p=0.0), 2000s(chi2=14.44, p=0.0001), punk(chi2=12.23, p=0.0005), early(chi2=11.13, p=0.0009), sing(chi2=10.76, p=0.001), grunge(chi2=9.57, p=0.002), lot(chi2=7.53, p=0.0061), vocal(chi2=6.36, p=0.0117)"
drum,11,8,39,957,"rock(chi2=27.23, p=0.0), melancholic(chi2=18.27, p=0.0), punk(chi2=16.13, p=0.0001), guitar(chi2=12.58, p=0.0004), strong(chi2=5.66, p=0.0173), electric(chi2=5.66, p=0.0173), lot(chi2=4.82, p=0.0282), fast(chi2=4.74, p=0.0295), soft(chi2=3.1, p=0.0784), man(chi2=2.62, p=0.1058)"
old,11,11,55,941,"brush(chi2=22.89, p=0.0), french(chi2=15.81, p=0.0001), woman(chi2=13.57, p=0.0002), eerie(chi2=13.46, p=0.0002), hip-hop(chi2=6.9, p=0.0086), time(chi2=6.89, p=0.0087), sound(chi2=4.54, p=0.033), male(chi2=3.07, p=0.08), pace(chi2=3.01, p=0.0827), lyric(chi2=2.69, p=0.1007)"
dance,11,11,51,945,"jackson(chi2=55.76, p=0.0), latin(chi2=25.03, p=0.0), upbeat(chi2=14.19, p=0.0002), club(chi2=11.04, p=0.0009), electronic(chi2=10.79, p=0.001), pop(chi2=10.63, p=0.0011), house(chi2=9.88, p=0.0017), spanish(chi2=9.88, p=0.0017), sing(chi2=9.17, p=0.0025), woman(chi2=6.54, p=0.0105)"
indie,10,10,46,950,"2000(chi2=28.22, p=0.0), chill(chi2=20.7, p=0.0), tone(chi2=10.8, p=0.001), grunge(chi2=10.19, p=0.0014), guy(chi2=10.14, p=0.0015), sad(chi2=10.14, p=0.0015), rock(chi2=9.45, p=0.0021), roll(chi2=9.11, p=0.0025), think(chi2=7.37, p=0.0066), different(chi2=6.66, p=0.0098)"
synth,10,10,50,946,"k(chi2=57.22, p=0.0), girl(chi2=30.07, p=0.0), group(chi2=25.92, p=0.0), pop(chi2=19.53, p=0.0), french(chi2=17.84, p=0.0), eerie(chi2=15.27, p=0.0001), loud(chi2=12.43, p=0.0004), 80(chi2=12.43, p=0.0004), video(chi2=8.02, p=0.0046), flow(chi2=8.02, p=0.0046)"
vocal,10,9,43,953,"jackson(chi2=66.69, p=0.0), say(chi2=30.5, p=0.0), drop(chi2=22.31, p=0.0), man(chi2=12.87, p=0.0003), house(chi2=12.58, p=0.0004), beginning(chi2=10.06, p=0.0015), think(chi2=8.2, p=0.0042), dance(chi2=7.4, p=0.0065), tempo(chi2=6.17, p=0.013), early(chi2=6.17, p=0.013)"
sing,9,9,45,951,"k(chi2=90.11, p=0.0), pop(chi2=36.12, p=0.0), group(chi2=29.48, p=0.0), girl(chi2=23.92, p=0.0), female(chi2=16.72, p=0.0), light(chi2=10.5, p=0.0012), violin(chi2=6.91, p=0.0086), bright(chi2=6.91, p=0.0086), upbeat(chi2=6.22, p=0.0126), sound(chi2=5.46, p=0.0195)"
dark,9,9,41,955,"melancholic(chi2=32.95, p=0.0), emotion(chi2=26.81, p=0.0), scene(chi2=8.02, p=0.0046), melodic(chi2=7.32, p=0.0068), rock(chi2=6.86, p=0.0088), guitar(chi2=6.12, p=0.0133), soft(chi2=5.84, p=0.0156), sad(chi2=5.62, p=0.0178), give(chi2=4.91, p=0.0266), dramatic(chi2=4.75, p=0.0292)"
energetic,9,9,44,952,"carry(chi2=24.67, p=0.0), rock(chi2=21.39, p=0.0), hard(chi2=14.96, p=0.0001), punk(chi2=13.76, p=0.0002), metal(chi2=12.67, p=0.0004), rapper(chi2=9.73, p=0.0018), pace(chi2=5.26, p=0.0218), instrumental(chi2=4.5, p=0.0339), fast(chi2=3.51, p=0.061), jazz(chi2=2.38, p=0.1228)"
acoustic,8,6,29,967,"melancholic(chi2=26.22, p=0.0), jazz(chi2=18.73, p=0.0), guitar(chi2=15.69, p=0.0001), soft(chi2=5.96, p=0.0147), instrumental(chi2=4.35, p=0.037), slow(chi2=3.45, p=0.0633), country(chi2=3.06, p=0.0805), piano(chi2=2.59, p=0.1078), movie(chi2=1.68, p=0.1952), singing(chi2=1.61, p=0.2046)"
ambient,8,8,40,956,"youtube(chi2=40.86, p=0.0), flute(chi2=33.11, p=0.0), saxophone(chi2=17.69, p=0.0), electronic(chi2=16.22, p=0.0001), video(chi2=11.17, p=0.0008), similar(chi2=6.97, p=0.0083), pop(chi2=5.58, p=0.0182), come(chi2=4.98, p=0.0257), study(chi2=4.59, p=0.0321), maybe(chi2=4.59, p=0.0321)"
deep,8,8,41,955,"poetry(chi2=39.76, p=0.0), party(chi2=32.2, p=0.0), woman(chi2=22.28, p=0.0), keyboard(chi2=13.42, p=0.0002), drop(chi2=12.0, p=0.0005), sing(chi2=6.15, p=0.0132), man(chi2=5.07, p=0.0243), give(chi2=4.91, p=0.0266), feel(chi2=4.62, p=0.0317), metal(chi2=4.36, p=0.0367)"
upbeat,8,8,40,956,"latin(chi2=33.11, p=0.0), song(chi2=24.46, p=0.0), pitch(chi2=19.18, p=0.0), saxophone(chi2=17.69, p=0.0), club(chi2=15.76, p=0.0001), spanish(chi2=13.87, p=0.0002), techno(chi2=11.71, p=0.0006), pop(chi2=8.79, p=0.003), game(chi2=8.34, p=0.0039), high(chi2=8.16, p=0.0043)"
name,8,7,35,961,"acoustic(chi2=16.54, p=0.0), smooth(chi2=7.94, p=0.0048), musical(chi2=6.03, p=0.014), band(chi2=5.86, p=0.0155), bass(chi2=4.22, p=0.0399), tone(chi2=4.11, p=0.0426), guitar(chi2=3.17, p=0.0749), give(chi2=2.74, p=0.0981), slow(chi2=1.81, p=0.1785), play(chi2=0.9, p=0.3435)"
electro,8,7,31,965,"drop(chi2=17.41, p=0.0), dance(chi2=12.6, p=0.0004), upbeat(chi2=11.52, p=0.0007), club(chi2=11.17, p=0.0008), electronic(chi2=8.32, p=0.0039), techno(chi2=8.26, p=0.004), come(chi2=7.7, p=0.0055), good(chi2=3.0, p=0.0835), beat(chi2=2.31, p=0.1285), heavy(chi2=1.86, p=0.1728)"
voice,7,7,34,962,"heartbreak(chi2=33.26, p=0.0), sad(chi2=27.07, p=0.0), different(chi2=21.23, p=0.0), opera(chi2=19.2, p=0.0), piano(chi2=11.41, p=0.0007), violin(chi2=10.63, p=0.0011), style(chi2=9.59, p=0.002), language(chi2=6.62, p=0.0101), deep(chi2=6.62, p=0.0101), use(chi2=6.62, p=0.0101)"
passionate,7,7,32,964,"rock(chi2=26.75, p=0.0), country(chi2=20.49, p=0.0), guitar(chi2=12.46, p=0.0004), steady(chi2=9.45, p=0.0021), vocal(chi2=7.41, p=0.0065), band(chi2=6.82, p=0.009), drum(chi2=6.08, p=0.0137), feature(chi2=4.88, p=0.0271), soft(chi2=4.88, p=0.0271), man(chi2=4.25, p=0.0392)"
singer,7,7,35,961,"k(chi2=85.43, p=0.0), girl(chi2=47.73, p=0.0), group(chi2=39.66, p=0.0), french(chi2=27.47, p=0.0), pop(chi2=11.64, p=0.0006), country(chi2=7.66, p=0.0056), sound(chi2=6.89, p=0.0087), drive(chi2=6.31, p=0.012), old(chi2=3.63, p=0.0567), guitar(chi2=3.17, p=0.0749)"
epic,7,6,29,967,"opera(chi2=71.21, p=0.0), dramatic(chi2=63.09, p=0.0), final(chi2=57.94, p=0.0), orchestra(chi2=46.2, p=0.0), scene(chi2=13.28, p=0.0003), hard(chi2=13.28, p=0.0003), string(chi2=10.55, p=0.0012), metal(chi2=8.48, p=0.0036), strong(chi2=5.24, p=0.022), rock(chi2=3.08, p=0.0793)"
punk,7,7,33,963,"rock(chi2=58.32, p=0.0), garage(chi2=50.41, p=0.0), grunge(chi2=16.06, p=0.0001), guitar(chi2=14.93, p=0.0001), lot(chi2=13.69, p=0.0002), loud(chi2=11.09, p=0.0009), drum(chi2=8.07, p=0.0045), band(chi2=6.48, p=0.0109), male(chi2=5.86, p=0.0155), electric(chi2=3.97, p=0.0464)"
instrumental,7,7,36,960,"melancholic(chi2=62.39, p=0.0), move(chi2=45.86, p=0.0), bit(chi2=27.88, p=0.0), soft(chi2=27.14, p=0.0), fi(chi2=26.58, p=0.0), eerie(chi2=23.02, p=0.0), club(chi2=18.22, p=0.0), mellow(chi2=15.95, p=0.0001), song(chi2=14.32, p=0.0002), slow(chi2=12.25, p=0.0005)"
catchy,6,6,30,966,"head(chi2=38.31, p=0.0), pitch(chi2=28.26, p=0.0), metal(chi2=22.93, p=0.0), high(chi2=13.37, p=0.0003), heavy(chi2=10.19, p=0.0014), electronic(chi2=8.8, p=0.003), 90(chi2=8.11, p=0.0044), pop(chi2=6.53, p=0.0106), electric(chi2=4.89, p=0.027), sing(chi2=3.72, p=0.0538)"
doom,6,6,30,966,"group(chi2=112.3, p=0.0), k(chi2=101.11, p=0.0), girl(chi2=40.7, p=0.0), pop(chi2=15.55, p=0.0001), deep(chi2=8.11, p=0.0044), remind(chi2=7.09, p=0.0077), steady(chi2=5.57, p=0.0183), nice(chi2=4.87, p=0.0274), voice(chi2=4.74, p=0.0295), kind(chi2=3.84, p=0.0501)"
life,6,6,26,970,"female(chi2=5.95, p=0.0147), electronic(chi2=5.07, p=0.0243), beat(chi2=4.36, p=0.0367), country(chi2=3.98, p=0.046), rap(chi2=3.7, p=0.0545), sound(chi2=3.7, p=0.0543), heavy(chi2=2.9, p=0.0885), pop(chi2=2.19, p=0.1387), singer(chi2=1.67, p=0.1962), vocal(chi2=0.47, p=0.4936)"
beat,6,6,30,966,"jazz(chi2=26.21, p=0.0), flow(chi2=16.49, p=0.0), mix(chi2=13.79, p=0.0002), remind(chi2=7.09, p=0.0077), rap(chi2=2.56, p=0.1093), vocal(chi2=0.74, p=0.3908), play(chi2=0.32, p=0.5687), voice(chi2=0.29, p=0.588), background(chi2=0.2, p=0.656), male(chi2=0.04, p=0.8404)"
contemporary,6,5,22,974,"country(chi2=47.35, p=0.0), r&b(chi2=32.35, p=0.0), love(chi2=13.6, p=0.0002), vocal(chi2=12.56, p=0.0004), slow(chi2=6.96, p=0.0084), guitar(chi2=5.66, p=0.0174), female(chi2=4.76, p=0.0291), bass(chi2=4.53, p=0.0333), feature(chi2=4.34, p=0.0373), woman(chi2=4.34, p=0.0373)"
school,6,6,31,965,"woman(chi2=24.2, p=0.0), pop(chi2=20.35, p=0.0), hip-hop(chi2=17.98, p=0.0), video(chi2=15.8, p=0.0001), 2000s(chi2=13.19, p=0.0003), game(chi2=12.12, p=0.0005), classic(chi2=8.26, p=0.004), rap(chi2=5.19, p=0.0227), singer(chi2=4.94, p=0.0262), vibe(chi2=3.81, p=0.051)"
synthesizer,6,6,31,965,"youtube(chi2=53.93, p=0.0), eerie(chi2=27.51, p=0.0), video(chi2=15.8, p=0.0001), vibe(chi2=8.74, p=0.0031), electronic(chi2=8.32, p=0.0039), techno(chi2=8.26, p=0.004), come(chi2=7.7, p=0.0055), lot(chi2=7.19, p=0.0073), start(chi2=6.29, p=0.0122), pace(chi2=5.46, p=0.0195)"
slow,6,6,29,967,"melancholic(chi2=49.15, p=0.0), metal(chi2=24.06, p=0.0), guitar(chi2=8.8, p=0.003), rock(chi2=8.21, p=0.0042), male(chi2=1.77, p=0.1834), voice(chi2=1.39, p=0.2385), describe(chi2=1.18, p=0.2768), sing(chi2=0.76, p=0.3833), play(chi2=0.4, p=0.5271), singing(chi2=0.31, p=0.5763)"
solo,6,6,29,967,"nostalgic(chi2=26.22, p=0.0), violin(chi2=13.28, p=0.0003), trumpet(chi2=13.28, p=0.0003), classic(chi2=9.15, p=0.0025), come(chi2=8.55, p=0.0035), voice(chi2=8.07, p=0.0045), female(chi2=4.55, p=0.033), kind(chi2=4.11, p=0.0426), melody(chi2=2.63, p=0.1051), country(chi2=0.93, p=0.3361)"
fast,5,5,25,971,"rapper(chi2=20.77, p=0.0), modern(chi2=19.04, p=0.0), think(chi2=17.53, p=0.0), jazz(chi2=14.75, p=0.0001), band(chi2=10.03, p=0.0015), instrument(chi2=8.15, p=0.0043), instrumental(chi2=5.73, p=0.0166), old(chi2=3.02, p=0.0821), rock(chi2=1.02, p=0.3136), lyric(chi2=0.39, p=0.5299)"
big,5,4,21,975,"small(chi2=67.08, p=0.0), jazz(chi2=42.48, p=0.0), band(chi2=25.25, p=0.0), mix(chi2=21.82, p=0.0), main(chi2=17.57, p=0.0), instrument(chi2=4.95, p=0.0261), lyric(chi2=0.91, p=0.3403), upbeat(chi2=0.86, p=0.3546), female(chi2=0.62, p=0.4309), vocal(chi2=0.35, p=0.5555)"
coast,5,4,19,977,"rap(chi2=20.85, p=0.0), hip-hop(chi2=10.32, p=0.0013), beat(chi2=9.87, p=0.0017), good(chi2=7.57, p=0.0059), slow(chi2=2.4, p=0.1216), pop(chi2=1.76, p=0.1842), upbeat(chi2=1.32, p=0.2515), vocal(chi2=0.66, p=0.4177), male(chi2=0.48, p=0.4873), sound(chi2=0.02, p=0.8881)"
classic,5,4,19,977,"rock(chi2=19.61, p=0.0), sad(chi2=17.57, p=0.0), guitar(chi2=12.15, p=0.0005), male(chi2=10.66, p=0.0011), kind(chi2=8.61, p=0.0033), bass(chi2=5.93, p=0.0149), singing(chi2=4.95, p=0.0261), country(chi2=3.15, p=0.0761), voice(chi2=2.81, p=0.0935), slow(chi2=2.4, p=0.1216)"
beautiful,5,5,25,971,"k(chi2=169.84, p=0.0), pop(chi2=58.3, p=0.0), group(chi2=58.02, p=0.0), girl(chi2=50.83, p=0.0), nice(chi2=14.12, p=0.0002), artist(chi2=12.16, p=0.0005), lot(chi2=10.03, p=0.0015), upbeat(chi2=5.69, p=0.0171), electronic(chi2=5.45, p=0.0196), rap(chi2=4.05, p=0.0441)"
electric,5,5,24,972,"poetry(chi2=70.88, p=0.0), metal(chi2=20.15, p=0.0), guitar(chi2=18.24, p=0.0), heavy(chi2=8.1, p=0.0044), kind(chi2=5.86, p=0.0155), sing(chi2=3.89, p=0.0485), soft(chi2=3.63, p=0.0567), rock(chi2=2.95, p=0.0858), country(chi2=1.74, p=0.1873), singing(chi2=0.83, p=0.363)"
hard,5,5,24,972,"spanish(chi2=49.39, p=0.0), punk(chi2=29.24, p=0.0), metal(chi2=20.15, p=0.0), intense(chi2=18.46, p=0.0), rock(chi2=12.58, p=0.0004), guitar(chi2=10.12, p=0.0015), jazz(chi2=8.74, p=0.0031), bass(chi2=8.74, p=0.0031), heavy(chi2=8.1, p=0.0044), electric(chi2=7.53, p=0.0061)"
folk,5,5,25,971,"guitar(chi2=21.43, p=0.0), country(chi2=21.34, p=0.0), rock(chi2=11.54, p=0.0007), male(chi2=8.4, p=0.0037), slow(chi2=5.16, p=0.0231), singer(chi2=1.9, p=0.168), voice(chi2=0.98, p=0.3224), singing(chi2=0.69, p=0.4046), vocal(chi2=0.61, p=0.4346), lyric(chi2=0.39, p=0.5299)"
rhythmic,5,5,24,972,"opera(chi2=54.53, p=0.0), rapper(chi2=41.33, p=0.0), hip-hop(chi2=7.19, p=0.0073), rap(chi2=4.44, p=0.0351), beat(chi2=3.2, p=0.0738), upbeat(chi2=1.59, p=0.2079), female(chi2=1.56, p=0.2116), sound(chi2=1.37, p=0.2425), sing(chi2=0.5, p=0.4817), lyric(chi2=0.5, p=0.4815)"
modern,5,5,26,970,"classic(chi2=10.76, p=0.001), love(chi2=10.76, p=0.001), end(chi2=7.03, p=0.008), slow(chi2=4.67, p=0.0307), country(chi2=3.98, p=0.046), feel(chi2=2.38, p=0.123), describe(chi2=1.67, p=0.1958), singer(chi2=0.33, p=0.5638), female(chi2=0.15, p=0.6959)"
summer,5,5,24,972,"electronic(chi2=5.86, p=0.0155), word(chi2=5.31, p=0.0212), singer(chi2=4.9, p=0.0269), country(chi2=4.75, p=0.0292), vocal(chi2=4.22, p=0.04), instrument(chi2=3.8, p=0.0511), pop(chi2=2.75, p=0.0971), fast(chi2=2.63, p=0.1046), describe(chi2=2.09, p=0.1479), male(chi2=1.76, p=0.185)"
theme,5,4,19,977,"electronic(chi2=8.61, p=0.0033), rap(chi2=7.09, p=0.0078), upbeat(chi2=3.42, p=0.0645), female(chi2=3.14, p=0.0764), pop(chi2=1.76, p=0.1842), singer(chi2=1.36, p=0.244), male(chi2=0.48, p=0.4873), sing(chi2=0.26, p=0.613), voice(chi2=0.1, p=0.7526), vocal(chi2=0.02, p=0.8779)"
work,5,5,25,971,"deep(chi2=21.31, p=0.0), language(chi2=10.68, p=0.0011), slow(chi2=8.62, p=0.0033), tone(chi2=7.49, p=0.0062), man(chi2=6.99, p=0.0082), synth(chi2=6.37, p=0.0116), singing(chi2=5.57, p=0.0183), beat(chi2=4.92, p=0.0266), country(chi2=4.35, p=0.037), rap(chi2=4.05, p=0.0441)"
write,5,5,27,969,"metal(chi2=17.0, p=0.0), rock(chi2=9.73, p=0.0018), heavy(chi2=6.55, p=0.0105), old(chi2=6.29, p=0.0121), hip-hop(chi2=5.89, p=0.0152), vibe(chi2=4.99, p=0.0255), guitar(chi2=4.93, p=0.0264), male(chi2=4.35, p=0.0371), country(chi2=3.65, p=0.0562), feature(chi2=2.8, p=0.0945)"
