prompt_word,prompt_count,songs_with_word,total_descriptions,survived_count,survival_rate_pct
country,14,9,44,31,70.5
guitar,29,22,105,43,41.0
metal,13,10,48,19,39.6
slow,6,6,29,10,34.5
rock,59,31,154,53,34.4
female,20,19,95,31,32.6
jazz,15,11,57,18,31.6
rap,17,14,69,19,27.5
beat,6,6,30,7,23.3
vocal,10,9,43,10,23.3
drum,11,8,39,8,20.5
sing,9,9,45,8,17.8
male,26,25,124,22,17.7
hip-hop,24,19,91,16,17.6
pop,58,49,238,40,16.8
instrumental,7,7,36,6,16.7
upbeat,8,8,40,6,15.0
heavy,17,15,75,11,14.7
voice,7,7,34,5,14.7
piano,13,10,55,8,14.5
punk,7,7,33,4,12.1
fast,5,5,25,3,12.0
singer,7,7,35,4,11.4
dance,11,11,51,5,9.8
big,5,4,21,2,9.5
r&b,12,8,35,3,8.6
electric,5,5,24,2,8.3
blue,11,8,39,3,7.7
electronic,19,19,93,7,7.5
acoustic,8,6,29,2,6.9
house,16,12,60,4,6.7
catchy,6,6,30,2,6.7
love,13,13,68,4,5.9
bass,11,11,52,3,5.8
soul,17,8,37,2,5.4
theme,5,4,19,1,5.3
style,26,26,134,7,5.2
hard,5,5,24,1,4.2
synth,10,10,50,2,4.0
work,5,5,25,1,4.0
life,6,6,26,1,3.8
old,11,11,55,2,3.6
epic,7,6,29,1,3.4
dark,9,9,41,1,2.4
deep,8,8,41,1,2.4
indie,10,10,46,1,2.2
vocalist,34,34,169,3,1.8
melodic,15,15,76,1,1.3
ambient,8,8,40,0,0.0
alternative,11,10,48,0,0.0
classic,5,4,19,0,0.0
electro,8,7,31,0,0.0
folk,5,5,25,0,0.0
energetic,9,9,44,0,0.0
funk,12,11,53,0,0.0
beautiful,5,5,25,0,0.0
contemporary,6,5,22,0,0.0
coast,5,4,19,0,0.0
doom,6,6,30,0,0.0
modern,5,5,26,0,0.0
school,6,6,31,0,0.0
rhythmic,5,5,24,0,0.0
name,8,7,35,0,0.0
passionate,7,7,32,0,0.0
summer,5,5,24,0,0.0
solo,6,6,29,0,0.0
synthesizer,6,6,31,0,0.0
write,5,5,27,0,0.0
