prompt_word,desc_word,chi2,p_value,prompt_count,desc_with,desc_without
heavy,metal,169.96,0.0,17,94,1162
hip-hop,rap,159.7,0.0,24,119,1137
metal,rock,118.65,0.0,13,61,1195
heavy,rock,99.47,0.0,17,94,1162
funk,jackson,85.05,0.0,12,70,1186
dance,jackson,85.05,0.0,11,70,1186
blue,lullaby,74.07,0.0,11,49,1207
funk,michael,67.99,0.0,12,70,1186
dance,michael,67.99,0.0,11,70,1186
heavy,guitar,64.87,0.0,17,94,1162
metal,hard,62.99,0.0,13,61,1195
metal,scream,62.44,0.0,13,61,1195
metal,electric,59.22,0.0,13,61,1195
rock,guitar,57.95,0.0,59,197,1059
metal,punk,57.43,0.0,13,61,1195
r&b,duet,55.31,0.0,12,48,1208
piano,jazz,54.82,0.0,13,67,1189
soul,woman,54.6,0.0,17,50,1206
bass,spanish,54.33,0.0,11,68,1188
piano,lullaby,53.37,0.0,13,67,1189
soul,duet,52.95,0.0,17,50,1206
male,rock,52.89,0.0,26,157,1099
metal,guitar,52.64,0.0,13,61,1195
heavy,scream,50.42,0.0,17,94,1162
jazz,christmas,49.45,0.0,15,72,1184
heavy,electric,48.02,0.0,17,94,1162
jazz,french,47.07,0.0,15,72,1184
metal,heavy,44.34,0.0,13,61,1195
country,southern,43.78,0.0,14,56,1200
guitar,rock,43.56,0.0,29,137,1119
alternative,rock,42.22,0.0,11,63,1193
house,edm,41.2,0.0,16,76,1180
love,opera,40.47,0.0,13,86,1170
metal,powerful,39.58,0.0,13,61,1195
hip-hop,beat,38.73,0.0,24,119,1137
piano,princess,38.57,0.0,13,67,1189
female,japanese,37.99,0.0,20,120,1136
heavy,drumming,37.17,0.0,17,94,1162
heavy,angry,37.17,0.0,17,94,1162
r&b,woman,37.08,0.0,12,48,1208
old,duet,36.75,0.0,11,70,1186
female,pop,36.61,0.0,20,120,1136
heavy,hard,36.13,0.0,17,94,1162
male,jackson,35.14,0.0,26,157,1099
alternative,2000,34.2,0.0,11,63,1193
blue,soothe,34.17,0.0,11,49,1207
love,romance,33.82,0.0,13,86,1170
heavy,punk,33.66,0.0,17,94,1162
house,tech,33.56,0.0,16,76,1180
style,jackson,33.43,0.0,26,164,1092
rap,hiphop,32.93,0.0,17,88,1168
heavy,strong,30.58,0.0,17,94,1162
drum,melancholic,29.73,0.0,11,51,1205
piano,poetry,29.71,0.0,13,67,1189
alternative,european,29.58,0.0,11,63,1193
love,forward,29.22,0.0,13,86,1170
rock,drum,29.06,0.0,59,197,1059
drum,rock,28.97,0.0,11,51,1205
electronic,potentially,28.73,0.0,19,119,1137
hip-hop,tupac,28.73,0.0,24,119,1137
hip-hop,clap,28.73,0.0,24,119,1137
female,anime,28.47,0.0,20,120,1136
country,guitar,28.19,0.0,14,56,1200
male,michael,28.09,0.0,26,157,1099
rock,electric,27.87,0.0,59,197,1059
pop,girl,27.64,0.0,58,307,949
house,say,27.36,0.0,16,76,1180
jazz,poetry,27.36,0.0,15,72,1184
jazz,elevator,27.36,0.0,15,72,1184
hip-hop,r&b,27.11,0.0,24,119,1137
style,michael,26.72,0.0,26,164,1092
country,melancholic,26.52,0.0,14,56,1200
house,poetry,25.7,0.0,16,76,1180
rap,rapper,25.36,0.0,17,88,1168
rap,british,25.18,0.0,17,88,1168
soul,sing,24.73,0.0,17,50,1206
rock,metal,24.26,0.0,59,197,1059
male,guitar,23.98,0.0,26,157,1099
piano,soothe,23.82,0.0,13,67,1189
piano,small,23.82,0.0,13,67,1189
soul,era,23.67,0.0,17,50,1206
pop,asian,23.46,0.0,58,307,949
drum,2000,23.11,0.0,11,51,1205
blue,country,23.08,0.0,11,49,1207
hip-hop,soulful,22.99,0.0,24,119,1137
hip-hop,hiphop,22.99,0.0,24,119,1137
pop,k,22.75,0.0,58,307,949
old,brush,22.61,0.0,11,70,1186
old,french,22.23,0.0,11,70,1186
jazz,restaurant,21.86,0.0,15,72,1184
rap,trap,21.64,0.0,17,88,1168
rap,90s,21.64,0.0,17,88,1168
alternative,not,21.16,0.0,11,63,1193
rock,grunge,20.88,0.0,59,197,1059
rock,introduction,20.86,0.0,59,197,1059
metal,strong,20.8,0.0,13,61,1195
vocalist,female,20.67,0.0,34,213,1043
country,banjo,20.63,0.0,14,56,1200
hip-hop,modern,20.4,0.0,24,119,1137
rap,hip-hop,20.32,0.0,17,88,1168
guitar,punk,19.98,0.0,29,137,1119
