prompt_word,desc_word,chi2,p_value,prompt_count,desc_with,desc_without
female,cheerful,19.89,0.0,20,120,1136
r&b,man,19.73,0.0,12,48,1208
house,dance,19.73,0.0,16,76,1180
vocalist,japanese,19.65,0.0,34,213,1043
jazz,instrumental,19.62,0.0,15,72,1184
melodic,elevator,19.49,0.0,15,96,1160
melodic,raspy,19.49,0.0,15,96,1160
bass,heavy,19.36,0.0,11,68,1188
electronic,eerie,19.3,0.0,19,119,1137
bass,latin,19.27,0.0,11,68,1188
jazz,smooth,19.23,0.0,15,72,1184
r&b,rnb,18.79,0.0,12,48,1208
female,artist,18.62,0.0,20,120,1136
funk,repetitive,18.59,0.0,12,70,1186
dance,latin,18.59,0.0,11,70,1186
jazz,soft,18.51,0.0,15,72,1184
blue,tell,18.31,0.0,11,49,1207
soul,eerie,17.85,0.0,17,50,1206
country,folk,17.74,0.0,14,56,1200
jazz,love,17.62,0.0,15,72,1184
blue,jazz,17.38,0.0,11,49,1207
house,beat,17.29,0.0,16,76,1180
rap,blend,17.1,0.0,17,88,1168
rap,constant,17.1,0.0,17,88,1168
guitar,wild,16.96,0.0,29,137,1119
rap,rnb,16.84,0.0,17,88,1168
vocalist,rock,16.58,0.0,34,213,1043
piano,head,16.5,0.0,13,67,1189
blue,slow,16.44,0.0001,11,49,1207
vocalist,lot,16.37,0.0001,34,213,1043
rock,punk,16.27,0.0001,59,197,1059
male,punk,16.2,0.0001,26,157,1099
love,guitar,16.18,0.0001,13,86,1170
rock,teen,16.17,0.0001,59,197,1059
hip-hop,good,16.08,0.0001,24,119,1137
metal,riff,15.91,0.0001,13,61,1195
house,keyboard,15.86,0.0001,16,76,1180
drum,guitar,15.73,0.0001,11,51,1205
male,old,15.71,0.0001,26,157,1099
pop,jackson,15.52,0.0001,58,307,949
male,riff,15.36,0.0001,26,157,1099
melodic,interesting,14.95,0.0001,15,96,1160
electronic,youtube,14.94,0.0001,19,119,1137
hip-hop,backup,14.94,0.0001,24,119,1137
female,girly,14.78,0.0001,20,120,1136
female,1990s,14.78,0.0001,20,120,1136
vocalist,anime,14.73,0.0001,34,213,1043
rap,accent,14.68,0.0001,17,88,1168
female,sing,14.66,0.0001,20,120,1136
love,piano,14.6,0.0001,13,86,1170
rock,solo,14.47,0.0001,59,197,1059
electronic,club,14.04,0.0002,19,119,1137
female,girl,13.95,0.0002,20,120,1136
r&b,love,13.8,0.0002,12,48,1208
guitar,melancholic,13.63,0.0002,29,137,1119
country,accent,13.56,0.0002,14,56,1200
house,techno,13.54,0.0002,16,76,1180
house,club,13.54,0.0002,16,76,1180
alternative,school,13.21,0.0003,11,63,1193
female,pitch,12.87,0.0003,20,120,1136
electronic,house,12.87,0.0003,19,119,1137
jazz,genre,12.78,0.0004,15,72,1184
dance,upbeat,12.69,0.0004,11,70,1186
house,drop,12.63,0.0004,16,76,1180
r&b,smooth,12.56,0.0004,12,48,1208
love,time,12.54,0.0004,13,86,1170
guitar,west,12.45,0.0004,29,137,1119
pop,michael,12.4,0.0004,58,307,949
melodic,texture,12.37,0.0004,15,96,1160
melodic,repetitive,12.37,0.0004,15,96,1160
dance,electronic,12.29,0.0005,11,70,1186
bass,foreign,12.14,0.0005,11,68,1188
style,clear,12.12,0.0005,26,164,1092
country,nostalgic,12.0,0.0005,14,56,1200
vocalist,radio,11.86,0.0006,34,213,1043
love,banjo,11.86,0.0006,13,86,1170
rock,2010,11.85,0.0006,59,197,1059
alternative,slightly,11.54,0.0007,11,63,1193
alternative,lively,11.54,0.0007,11,63,1193
electronic,event,11.54,0.0007,19,119,1137
r&b,good,11.49,0.0007,12,48,1208
old,eerie,11.43,0.0007,11,70,1186
funk,groove,11.43,0.0007,12,70,1186
r&b,vocal,11.41,0.0007,12,48,1208
alternative,2000s,11.35,0.0008,11,63,1193
soul,r&b,11.28,0.0008,17,50,1206
r&b,sing,11.24,0.0008,12,48,1208
dance,sing,11.15,0.0008,11,70,1186
vocalist,pop,10.99,0.0009,34,213,1043
funk,90,10.83,0.001,12,70,1186
old,woman,10.76,0.001,11,70,1186
bass,metal,10.74,0.001,11,68,1188
dance,pop,10.72,0.0011,11,70,1186
guitar,european,10.49,0.0012,29,137,1119
melodic,video,10.49,0.0012,15,96,1160
alternative,early,10.41,0.0013,11,63,1193
pop,happy,10.39,0.0013,58,307,949
male,structure,10.36,0.0013,26,157,1099
male,gritty,10.36,0.0013,26,157,1099
male,man,10.32,0.0013,26,157,1099
style,soundtrack,10.26,0.0014,26,164,1092
funk,dance,10.24,0.0014,12,70,1186
melodic,kinda,10.17,0.0014,15,96,1160
melodic,2000,10.17,0.0014,15,96,1160
dance,backing,10.09,0.0015,11,70,1186
electronic,edm,9.98,0.0016,19,119,1137
love,playing,9.97,0.0016,13,86,1170
love,emotion,9.97,0.0016,13,86,1170
love,folk,9.97,0.0016,13,86,1170
drum,punk,9.9,0.0017,11,51,1205
dance,spanish,9.62,0.0019,11,70,1186
vocalist,cheerful,9.6,0.0019,34,213,1043
vocalist,city,9.59,0.002,34,213,1043
blue,acoustic,9.53,0.002,11,49,1207
blue,roll,9.53,0.002,11,49,1207
vocalist,punk,9.51,0.002,34,213,1043
guitar,quiet,9.48,0.0021,29,137,1119
dance,club,9.41,0.0022,11,70,1186
electronic,cool,9.35,0.0022,19,119,1137
pop,advertisement,9.3,0.0023,58,307,949
pop,channel,9.3,0.0023,58,307,949
pop,preppy,9.3,0.0023,58,307,949
pop,ariana,9.3,0.0023,58,307,949
alternative,sing,9.23,0.0024,11,63,1193
guitar,melodic,9.19,0.0024,29,137,1119
electronic,fun,9.15,0.0025,19,119,1137
drum,roll,8.98,0.0027,11,51,1205
melodic,game,8.67,0.0032,15,96,1160
r&b,opera,8.2,0.0042,12,48,1208
electronic,dramatic,8.05,0.0046,19,119,1137
guitar,french,7.86,0.0051,29,137,1119
funk,electronic,7.77,0.0053,12,70,1186
funk,similar,7.68,0.0056,12,70,1186
funk,drive,7.68,0.0056,12,70,1186
funk,saxophone,7.65,0.0057,12,70,1186
soul,pop,7.53,0.0061,17,50,1206
drum,spanish,7.45,0.0063,11,51,1205
guitar,metal,7.44,0.0064,29,137,1119
style,tension,7.25,0.0071,26,164,1092
style,epic,7.25,0.0071,26,164,1092
soul,jazz,7.22,0.0072,17,50,1206
melodic,weird,7.14,0.0075,15,96,1160
soul,love,7.03,0.008,17,50,1206
blue,guitar,6.85,0.0088,11,49,1207
blue,old,6.73,0.0095,11,49,1207
soul,girl,6.62,0.0101,17,50,1206
style,emotional,6.61,0.0101,26,164,1092
style,rnb,6.45,0.0111,26,164,1092
drum,strong,6.41,0.0114,11,51,1205
country,time,6.39,0.0115,14,56,1200
bass,punk,6.31,0.012,11,68,1188
bass,intro,6.05,0.0139,11,68,1188
old,bar,6.0,0.0143,11,70,1186
style,line,5.83,0.0158,26,164,1092
bass,rock,5.76,0.0164,11,68,1188
drum,catchy,5.73,0.0167,11,51,1205
old,talk,5.72,0.0168,11,70,1186
drum,soft,5.71,0.0169,11,51,1205
old,hip-hop,5.54,0.0186,11,70,1186
style,steady,5.33,0.021,26,164,1092
piano,techno,5.31,0.0212,13,67,1189
piano,soft,5.0,0.0253,13,67,1189
piano,theme,4.64,0.0312,13,67,1189
bass,emotional,4.52,0.0336,11,68,1188
country,example,4.43,0.0354,14,56,1200
old,time,4.27,0.0388,11,70,1186
country,melodic,4.05,0.0441,14,56,1200
old,chorus,3.83,0.0505,11,70,1186
bass,language,3.48,0.0621,11,68,1188
